nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.168;0.154;0.014;0.0;1;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.095;0.084;0.011;0.0;1;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.079;0.071;0.007;0.001;1;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.095;0.085;0.01;0.0;1;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.107;0.096;0.01;0.001;1;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.054;0.048;0.006;0.0;1;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.046;0.039;0.007;0.0;1;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.006;0.001;1;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;1;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.051000000000000004;0.042;0.008;0.001;1;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.159;0.154;0.005;0.0;2;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.092;0.084;0.008;0.0;2;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.078;0.071;0.006;0.001;2;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.096;0.085;0.011;0.0;2;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10300000000000001;0.096;0.007;0.0;2;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.058;0.048;0.007;0.003;2;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.046;0.039;0.007;0.0;2;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.063;0.057;0.006;0.0;2;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.084;0.078;0.006;0.0;2;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.045000000000000005;0.042;0.003;0.0;2;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.162;0.154;0.004;0.004;3;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08800000000000001;0.084;0.004;0.0;3;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.075;0.071;0.004;0.0;3;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.09100000000000001;0.085;0.006;0.0;3;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.10200000000000001;0.096;0.005;0.001;3;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.055;0.048;0.007;0.0;3;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.044;0.039;0.005;0.0;3;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.061;0.057;0.004;0.0;3;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.084;0.078;0.006;0.0;3;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.046;0.042;0.004;0.0;3;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.158;0.154;0.004;0.0;4;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08800000000000001;0.084;0.004;0.0;4;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.076;0.071;0.005;0.0;4;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.094;0.085;0.009;0.0;4;-1;0;-1;0;1;2;1.26;200;252;-1;0;
200;-1;0.101;0.096;0.005;0.0;4;-1;0;-1;0;1;2;1.185;200;236;-1;0;
200;-1;0.055;0.048;0.007;0.0;4;-1;0;-1;0;1;2;1.105;200;220;-1;0;
200;-1;0.048;0.039;0.009;0.0;4;-1;0;-1;0;1;2;1.245;200;250;-1;0;
200;-1;0.064;0.057;0.007;0.0;4;-1;0;-1;0;1;2;1.165;200;233;-1;0;
200;-1;0.081;0.078;0.003;0.0;4;-1;0;-1;0;1;2;1.05;200;210;-1;0;
200;-1;0.046000000000000006;0.042;0.003;0.001;4;-1;0;-1;0;1;2;1.125;200;225;-1;0;
200;-1;0.16;0.154;0.006;0.0;5;-1;0;-1;0;1;2;1.1;200;220;-1;0;
200;-1;0.08700000000000001;0.084;0.003;0.0;5;-1;0;-1;0;1;2;1.11;200;222;-1;0;
200;-1;0.074;0.071;0.003;0.0;5;-1;0;-1;0;1;2;1.065;200;213;-1;0;
200;-1;0.094;0.085;0.009;0.0;5;-1;0;-1;0;1;2;1.26;200;252;-1;0;
