file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
bara_alb_n_200_m_1_0.txt;200;2;0.995;1;-1.0;-1;0.249;200;175;0.05;0;1;0.001;0.3;0;1.311;-1;-1;0;
bara_alb_n_200_m_1_1.txt;200;2;0.995;1;-1.0;-1;0.165;200;197;0.02;0;1;0.0;0.185;0;1.782;-1;-1;0;
bara_alb_n_200_m_1_2.txt;200;2;0.995;1;-1.0;-1;0.065;200;190;0.016;0;1;0.006;0.08700000000000001;0;1.223;-1;-1;0;
bara_alb_n_200_m_1_3.txt;200;2;0.995;1;-1.0;-1;0.092;200;159;0.003;0;1;0.0;0.095;0;0.931;-1;-1;0;
bara_alb_n_200_m_1_4.txt;200;2;0.995;1;-1.0;-1;0.059;200;191;0.006;0;1;0.0;0.065;0;1.636;-1;-1;0;
bara_alb_n_200_m_1_5.txt;200;2;0.995;1;-1.0;-1;0.064;200;190;0.005;0;1;0.0;0.069;0;1.161;-1;-1;0;
bara_alb_n_200_m_1_6.txt;200;2;0.99;1;-1.0;-1;0.07;200;197;0.009;0;1;0.001;0.08;0;1.864;-1;-1;0;
bara_alb_n_200_m_1_7.txt;200;2;0.99;1;-1.0;-1;0.117;200;182;0.01;0;1;0.0;0.127;0;1.251;-1;-1;0;
bara_alb_n_200_m_1_8.txt;200;2;0.995;1;-1.0;-1;0.093;200;178;0.004;0;1;0.0;0.097;0;1.191;-1;-1;0;
bara_alb_n_200_m_1_9.txt;200;2;0.99;1;-1.0;-1;0.066;200;196;0.007;0;1;0.01;0.083;0;1.766;-1;-1;0;
bara_alb_n_400_m_1_0.gr;400;2;0.9975;1;-1.0;-1;0.233;400;386;0.028;0;1;0.0;0.261;0;21.729;-1;-1;0;
bara_alb_n_400_m_1_1.gr;400;2;0.9975;1;-1.0;-1;0.179;400;362;0.021;0;1;0.001;0.20099999999999998;0;16.129;-1;-1;0;
