file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
gnp_n_80_p_0.025_0.gr;80;2;1;1;-1.0;-1;0.078;80;81;0.021;0;1;0.0;0.099;0;0.132;-1;-1;0;
gnp_n_80_p_0.025_1.gr;80;2;1;1;-1.0;-1;0.047;80;70;0.002;0;1;0.001;0.05;0;0.067;-1;-1;0;
gnp_n_80_p_0.025_2.gr;80;2;1;1;-1.0;-1;0.031;80;78;0.002;0;1;0.0;0.033;0;0.081;-1;-1;0;
gnp_n_80_p_0.025_3.gr;80;2;1;1;-1.0;-1;0.047;80;65;0.001;0;1;0.0;0.048;0;0.048;-1;-1;0;
gnp_n_80_p_0.025_4.gr;80;2;1;1;-1.0;-1;0.031;80;71;0.002;0;1;0.0;0.033;0;0.095;-1;-1;0;
gnp_n_80_p_0.025_5.gr;80;2;1;1;-1.0;-1;0.016;80;46;0.001;0;1;0.0;0.017;0;0.018;-1;-1;0;
gnp_n_80_p_0.025_6.gr;80;2;1;1;-1.0;-1;0.016;80;73;0.002;0;1;0.0;0.018000000000000002;0;0.035;-1;-1;0;
gnp_n_80_p_0.025_7.gr;80;2;1;1;-1.0;-1;0.015;80;77;0.002;0;1;0.0;0.017;0;0.049;-1;-1;0;
gnp_n_80_p_0.025_8.gr;80;2;1;1;-1.0;-1;0.016;80;73;0.002;0;1;0.0;0.018000000000000002;0;0.051;-1;-1;0;
gnp_n_80_p_0.025_9.gr;80;2;1;1;-1.0;-1;0.016;80;75;0.004;0;1;0.0;0.02;0;0.037;-1;-1;0;
gnp_n_100_p_0.02_0.gr;100;2;1;1;-1.0;-1;0.015;100;90;0.003;0;1;0.0;0.018;0;0.082;-1;-1;0;
gnp_n_100_p_0.02_1.gr;100;2;1;1;-1.0;-1;0.015;100;87;0.002;0;1;0.0;0.017;0;0.144;-1;-1;0;
gnp_n_100_p_0.02_2.gr;100;2;1;1;-1.0;-1;0.016;100;94;0.004;0;1;0.0;0.02;0;0.144;-1;-1;0;
gnp_n_100_p_0.02_3.gr;100;2;1;1;-1.0;-1;0.015;100;100;0.004;0;1;0.001;0.02;0;0.102;-1;-1;0;
gnp_n_100_p_0.02_4.gr;100;2;1;1;-1.0;-1;0.016;100;103;0.002;0;1;0.0;0.018000000000000002;0;0.097;-1;-1;0;
gnp_n_100_p_0.02_5.gr;100;2;1;1;-1.0;-1;0.016;100;87;0.001;0;1;0.0;0.017;0;0.094;-1;-1;0;
gnp_n_100_p_0.02_6.gr;100;2;1;1;-1.0;-1;0.015;100;98;0.003;0;1;0.0;0.018;0;0.064;-1;-1;0;
gnp_n_100_p_0.02_7.gr;100;2;1;1;-1.0;-1;0.016;100;112;0.002;0;1;0.0;0.018000000000000002;0;0.173;-1;-1;0;
gnp_n_100_p_0.02_8.gr;100;2;1;1;-1.0;-1;0.0;100;102;0.003;0;1;0.0;0.003;0;0.097;-1;-1;0;
gnp_n_100_p_0.02_9.gr;100;2;1;1;-1.0;-1;0.016;100;88;0.001;0;1;0.0;0.017;0;0.08;-1;-1;0;
gnp_n_120_p_0.016_0.gr;120;2;1;1;-1.0;-1;0.031;120;113;0.002;0;1;0.0;0.033;0;0.19;-1;-1;0;
gnp_n_120_p_0.016_1.gr;120;2;1;1;-1.0;-1;0.031;120;125;0.003;0;1;0.0;0.034;0;0.235;-1;-1;0;
gnp_n_120_p_0.016_2.gr;120;2;1;1;-1.0;-1;0.016;120;101;0.004;0;1;0.0;0.02;0;0.09;-1;-1;0;
gnp_n_120_p_0.016_3.gr;120;2;1;1;-1.0;-1;0.015;120;102;0.002;0;1;0.0;0.017;0;0.184;-1;-1;0;
gnp_n_120_p_0.016_4.gr;120;2;1;1;-1.0;-1;0.016;120;96;0.006;0;1;0.0;0.022;0;0.162;-1;-1;0;
gnp_n_120_p_0.016_5.gr;120;2;1;1;-1.0;-1;0.016;120;136;0.003;0;1;0.001;0.02;0;0.215;-1;-1;0;
gnp_n_120_p_0.016_6.gr;120;2;1;1;-1.0;-1;0.016;120;110;0.006;0;1;0.0;0.022;0;0.186;-1;-1;0;
gnp_n_120_p_0.016_7.gr;120;2;1;1;-1.0;-1;0.016;120;109;0.002;0;1;0.0;0.018000000000000002;0;0.163;-1;-1;0;
gnp_n_120_p_0.016_8.gr;120;2;1;1;-1.0;-1;0.015;120;116;0.025;0;1;0.001;0.041;0;0.171;-1;-1;0;
gnp_n_120_p_0.016_9.gr;120;2;1;1;-1.0;-1;0.016;120;118;0.003;0;1;0.0;0.019;0;0.243;-1;-1;0;
gnp_n_140_p_0.014_0.gr;140;2;1;1;-1.0;-1;0.047;140;133;0.006;0;1;0.0;0.053;0;0.339;-1;-1;0;
gnp_n_140_p_0.014_1.gr;140;2;1;1;-1.0;-1;0.046;140;137;0.002;0;1;0.0;0.048;0;0.283;-1;-1;0;
gnp_n_140_p_0.014_2.gr;140;2;1;1;-1.0;-1;0.047;140;156;0.004;0;1;0.0;0.051000000000000004;0;0.411;-1;-1;0;
gnp_n_140_p_0.014_3.gr;140;2;1;1;-1.0;-1;0.032;140;143;0.004;0;1;0.0;0.036000000000000004;0;0.365;-1;-1;0;
gnp_n_140_p_0.014_4.gr;140;2;1;1;-1.0;-1;0.031;140;151;0.021;0;1;0.0;0.052000000000000005;0;0.334;-1;-1;0;
gnp_n_140_p_0.014_5.gr;140;2;1;1;-1.0;-1;0.031;140;141;0.005;0;1;0.0;0.036;0;0.319;-1;-1;0;
gnp_n_140_p_0.014_6.gr;140;2;1;1;-1.0;-1;0.031;140;156;0.003;0;1;0.001;0.035;0;0.443;-1;-1;0;
gnp_n_140_p_0.014_7.gr;140;2;1;1;-1.0;-1;0.016;140;127;0.002;0;1;0.0;0.018000000000000002;0;0.206;-1;-1;0;
gnp_n_140_p_0.014_8.gr;140;2;1;1;-1.0;-1;0.031;140;149;0.013;0;1;0.001;0.045;0;0.359;-1;-1;0;
gnp_n_140_p_0.014_9.gr;140;2;1;1;-1.0;-1;0.031;140;132;0.002;0;1;0.0;0.033;0;0.281;-1;-1;0;
gnp_n_160_p_0.012_0.gr;160;2;1;1;-1.0;-1;0.032;160;149;0.004;0;1;0.0;0.036000000000000004;0;0.371;-1;-1;0;
gnp_n_160_p_0.012_1.gr;160;2;1;1;-1.0;-1;0.031;160;163;0.008;0;1;0.0;0.039;0;0.493;-1;-1;0;
gnp_n_160_p_0.012_2.gr;160;2;1;1;-1.0;-1;0.031;160;144;0.003;0;1;0.0;0.034;0;0.44;-1;-1;0;
gnp_n_160_p_0.012_3.gr;160;2;1;1;-1.0;-1;0.031;160;159;0.02;0;1;0.001;0.052000000000000005;0;0.442;-1;-1;0;
gnp_n_160_p_0.012_4.gr;160;2;1;1;-1.0;-1;0.032;160;166;0.022;0;1;0.033;0.087;0;0.696;-1;-1;0;
gnp_n_160_p_0.012_5.gr;160;2;1;1;-1.0;-1;0.047;160;152;0.026;0;1;0.001;0.074;0;0.467;-1;-1;0;
gnp_n_160_p_0.012_6.gr;160;2;1;1;-1.0;-1;0.047;160;176;0.003;0;1;0.0;0.05;0;0.627;-1;-1;0;
gnp_n_160_p_0.012_7.gr;160;2;1;1;-1.0;-1;0.062;160;147;0.01;0;1;0.0;0.072;0;0.536;-1;-1;0;
gnp_n_160_p_0.012_8.gr;160;2;1;1;-1.0;-1;0.047;160;157;0.004;0;1;0.001;0.052000000000000005;0;0.446;-1;-1;0;
gnp_n_160_p_0.012_9.gr;160;2;1;1;-1.0;-1;0.032;160;165;0.002;0;1;0.0;0.034;0;0.537;-1;-1;0;
gnp_n_180_p_0.011_0.gr;180;2;1;1;-1.0;-1;0.046;180;167;0.005;0;1;0.0;0.051;0;0.547;-1;-1;0;
gnp_n_180_p_0.011_1.gr;180;2;1;1;-1.0;-1;0.031;180;168;0.003;0;1;0.002;0.036000000000000004;0;0.568;-1;-1;0;
gnp_n_180_p_0.011_2.gr;180;2;1;1;-1.0;-1;0.047;180;162;0.004;0;1;0.0;0.051000000000000004;0;0.471;-1;-1;0;
gnp_n_180_p_0.011_3.gr;180;2;1;1;-1.0;-1;0.047;180;180;0.005;0;1;0.0;0.052;0;0.896;-1;-1;0;
gnp_n_180_p_0.011_4.gr;180;2;1;1;-1.0;-1;0.031;180;154;0.006;0;1;0.0;0.037;0;0.411;-1;-1;0;
gnp_n_180_p_0.011_5.gr;180;2;1;1;-1.0;-1;0.047;180;166;0.003;0;1;0.0;0.05;0;0.721;-1;-1;0;
gnp_n_180_p_0.011_6.gr;180;2;1;1;-1.0;-1;0.047;180;157;0.009;0;1;0.0;0.056;0;0.654;-1;-1;0;
gnp_n_180_p_0.011_7.gr;180;2;1;1;-1.0;-1;0.031;180;169;0.003;0;1;0.0;0.034;0;0.48;-1;-1;0;
gnp_n_180_p_0.011_8.gr;180;2;1;1;-1.0;-1;0.047;180;170;0.008;0;1;0.0;0.055;0;0.63;-1;-1;0;
gnp_n_180_p_0.011_9.gr;180;2;1;1;-1.0;-1;0.031;180;210;0.006;0;1;0.006;0.043;0;1.241;-1;-1;0;
gnp_n_200_p_0.01_0.gr;200;2;1;1;-1.0;-1;0.063;200;203;0.006;0;1;0.0;0.069;0;1.178;-1;-1;0;
gnp_n_200_p_0.01_1.gr;200;2;1;1;-1.0;-1;0.047;200;199;0.01;0;1;0.001;0.058;0;1.091;-1;-1;0;
gnp_n_200_p_0.01_2.gr;200;2;1;1;-1.0;-1;0.031;200;184;0.004;0;1;0.003;0.038000000000000006;0;0.923;-1;-1;0;
gnp_n_200_p_0.01_3.gr;200;2;1;1;-1.0;-1;0.031;200;195;0.004;0;1;0.001;0.036000000000000004;0;0.973;-1;-1;0;
gnp_n_200_p_0.01_4.gr;200;2;1;1;-1.0;-1;0.047;200;203;0.003;0;1;0.0;0.05;0;0.925;-1;-1;0;
gnp_n_200_p_0.01_5.gr;200;2;1;1;-1.0;-1;0.031;200;196;0.012;0;1;0.0;0.043;0;0.955;-1;-1;0;
gnp_n_200_p_0.01_6.gr;200;2;1;1;-1.0;-1;0.047;200;182;0.004;0;1;0.0;0.051000000000000004;0;0.883;-1;-1;0;
gnp_n_200_p_0.01_7.gr;200;2;1;1;-1.0;-1;0.047;200;218;0.013;0;1;0.0;0.06;0;1.157;-1;-1;0;
gnp_n_200_p_0.01_8.gr;200;2;1;1;-1.0;-1;0.031;200;193;0.001;0;1;0.0;0.032;0;0.936;-1;-1;0;
gnp_n_200_p_0.01_9.gr;200;2;1;1;-1.0;-1;0.031;200;220;0.011;0;1;0.003;0.045;0;1.117;-1;-1;0;
gnp_n_220_p_0.009_0.gr;220;2;1;1;-1.0;-1;0.047;220;252;0.013;0;1;0.0;0.06;0;2.202;-1;-1;0;
gnp_n_220_p_0.009_1.gr;220;2;1;1;-1.0;-1;0.031;220;220;0.011;0;1;0.0;0.041999999999999996;0;1.188;-1;-1;0;
gnp_n_220_p_0.009_2.gr;220;2;1;1;-1.0;-1;0.031;220;206;0.014;0;1;0.0;0.045;0;1.291;-1;-1;0;
gnp_n_220_p_0.009_3.gr;220;2;1;1;-1.0;-1;0.047;220;214;0.007;0;1;0.0;0.054;0;1.123;-1;-1;0;
gnp_n_220_p_0.009_4.gr;220;2;1;1;-1.0;-1;0.046;220;210;0.003;0;1;0.0;0.049;0;1.428;-1;-1;0;
gnp_n_220_p_0.009_5.gr;220;2;1;1;-1.0;-1;0.047;220;223;0.005;0;1;0.0;0.052;0;1.617;-1;-1;0;
