nodes;Pipe 1;Pipe 2;reduction;kernel;hs_st
198;60.794;0.101;0.07;0.016;0.015
199;65.491;0.131;0.1;0.031;0
200;59.206;0.201;0.17;0.015;0.016
200;51.535;0.101;0.07;0.031;0
200;51.897;0.093;0.077;0.016;0
200;62.303;0.121;0.074;0.016;0.031
200;62.294;0.118;0.087;0.031;0
200;58.102;0.112;0.081;0.016;0.015
200;70.323;0.119;0.088;0.031;0
200;70.544;0.255;0.12;0.12;0.015
200;75.602;0.12;0.089;0.016;0.015
200;69.554;0.149;0.102;0.032;0.015
200;70.757;0.132;0.1;0.032;0
200;65.787;0.116;0.085;0.031;0
200;67.462;0.164;0.117;0.031;0.016
200;67.461;0.127;0.096;0.016;0.015
200;60.129;0.106;0.075;0.031;0
200;57.039;0.132;0.1;0.016;0.016
200;61.867;0.142;0.111;0.031;0
200;53.443;0.152;0.105;0.031;0.016
200;57.563;0.121;0.09;0.031;0
200;68.46;0.117;0.086;0.016;0.015
200;64.023;0.142;0.11;0.032;0
200;66.381;0.126;0.095;0.015;0.016
200;70.057;0.152;0.105;0.031;0.016
200;69.183;0.141;0.11;0.031;0
200;68.555;0.162;0.115;0.031;0.016
450;200.858;19.523;11.815;7.677;0.031
1150;514.405;415.816;250.762;164.99;0.064
1534;642.084;1080.269;624.952;455.254;0.063
1534;651.85;1048.089;616.843;431.215;0.031
2980;651.565;9.9;9.243;0.657;0
2980;824.005;10.482;9.826;0.64;0.016
3523;818.705;13.653;12.466;1.187;0
3523;892.147;13.3;12.341;0.943;0.016
4227;999.164;19.597;18.133;1.449;0.015
4410;1286.028;20.203;18.921;1.282;0
4579;1138.2;23.038;21.446;1.592;0
4768;1067.164;24.686;22.972;1.714;0
5066;1242.335;29.213;26.947;2.25;0.016
6160;2697.382;147.888;105.07;42.818;0
6795;2093.878;47.724;45.208;2.516;0
7030;1511.833;55.21;51.085;4.109;0.016
7400;1762.262;61.738;57.438;4.269;0.031
8794;5090.278;87.586;85.032;2.539;0.015
9877;3811.372;135.959;119.378;16.534;0.047
