nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.25;0.187;0.063;0.0;1;-1;0;-1;0;1;2;2.955;200;568;-1;0;
200;-1;0.187;0.156;0.031;0.0;1;-1;0;-1;0;1;2;2.95;200;587;-1;0;
200;-1;0.125;0.094;0.031;0.0;1;-1;0;-1;0;1;2;2.95;200;539;-1;0;
200;-1;0.124;0.093;0.031;0.0;1;-1;0;-1;0;1;2;2.955;200;567;-1;0;
200;-1;0.11;0.094;0.016;0.0;1;-1;0;-1;0;1;2;2.95;200;581;-1;0;
200;-1;0.094;0.063;0.015;0.016;1;-1;0;-1;0;1;2;2.95;200;581;-1;0;
200;-1;0.094;0.078;0.016;0.0;1;-1;0;-1;0;1;2;2.95;200;576;-1;0;
200;-1;0.094;0.078;0.016;0.0;1;-1;0;-1;0;1;2;2.955;200;569;-1;0;
200;-1;0.078;0.047;0.031;0.0;1;-1;0;-1;0;1;2;2.95;200;583;-1;0;
200;-1;0.08499999999999999;0.054;0.031;0.0;1;-1;0;-1;0;1;2;2.955;200;571;-1;0;
200;-1;0.219;0.187;0.032;0.0;2;-1;0;-1;1;1;2;2.955;200;568;-1;0;
200;-1;0.17099999999999999;0.156;0.015;0.0;2;-1;0;-1;1;1;2;2.95;200;587;-1;0;
200;-1;0.109;0.094;0.015;0.0;2;-1;0;-1;1;1;2;2.95;200;539;-1;0;
200;-1;0.125;0.093;0.032;0.0;2;-1;0;-1;1;1;2;2.955;200;567;-1;0;
200;-1;0.125;0.094;0.031;0.0;2;-1;0;-1;1;1;2;2.95;200;581;-1;0;
200;-1;0.078;0.063;0.015;0.0;2;-1;0;-1;1;1;2;2.95;200;581;-1;0;
200;-1;0.109;0.078;0.031;0.0;2;-1;0;-1;1;1;2;2.95;200;576;-1;0;
