nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;-1;4.821;3.57;1.235;0.016;1;-1;0.0;-1
1500;-1;4.141;3.063;1.078;0.0;1;-1;0.0;-1
1500;-1;4.5329999999999995;3.502;1.031;0.0;1;-1;0.0;-1
1500;-1;5.743;4.743;1.0;0.0;1;-1;0.0;-1
1500;-1;4.538;3.554;0.984;0.0;1;-1;0.0;-1
1500;-1;3.7809999999999997;2.812;0.969;0.0;1;-1;0.0;-1
1500;-1;3.8949999999999996;2.848;1.047;0.0;1;-1;0.0;-1
1500;-1;3.981;2.969;1.012;0.0;1;-1;0.0;-1
1500;-1;3.843;2.859;0.984;0.0;1;-1;0.0;-1
1500;-1;4.178;3.22;0.958;0.0;1;-1;0.0;-1
1500;-1;4.64;3.766;0.874;0.0;1;-1;0.0;-1
1500;-1;4.688;3.734;0.954;0.0;1;-1;0.0;-1
1500;-1;4.159;3.159;1.0;0.0;1;-1;0.0;-1
1500;-1;3.796;2.796;1.0;0.0;1;-1;0.0;-1
1500;-1;3.9370000000000003;2.906;1.031;0.0;1;-1;0.0;-1
1500;-1;4.034;3.0;1.034;0.0;1;-1;0.0;-1
1500;-1;4.298;3.345;0.953;0.0;1;-1;0.0;-1
1500;-1;4.919;3.904;1.015;0.0;1;-1;0.0;-1
1500;-1;4.641;3.672;0.969;0.0;1;-1;0.0;-1
1500;-1;4.422;3.453;0.969;0.0;1;-1;0.0;-1
1500;-1;3.859;2.859;1.0;0.0;1;-1;0.0;-1
1500;-1;3.782;2.797;0.985;0.0;1;-1;0.0;-1
1500;-1;3.859;2.859;1.0;0.0;1;-1;0.0;-1
1500;-1;3.89;2.906;0.984;0.0;1;-1;0.0;-1
1500;-1;4.207;3.222;0.985;0.0;1;-1;0.0;-1
1500;-1;4.773;3.771;1.002;0.0;1;-1;0.0;-1
1500;-1;4.657;3.688;0.969;0.0;1;-1;0.0;-1
1500;-1;3.8920000000000003;2.845;1.047;0.0;1;-1;0.0;-1
1500;-1;4.556;3.558;0.998;0.0;1;-1;0.0;-1
1500;-1;4.859999999999999;3.844;1.016;0.0;1;-1;0.0;-1
1500;-1;4.266;3.266;1.0;0.0;1;-1;0.0;-1
1500;-1;4.7379999999999995;3.735;1.003;0.0;1;-1;0.0;-1
1500;-1;4.843999999999999;3.844;1.0;0.0;1;-1;0.0;-1
1500;-1;4.389;3.453;0.936;0.0;1;-1;0.0;-1
1500;-1;3.813;2.829;0.984;0.0;1;-1;0.0;-1
1500;-1;3.859;2.844;1.015;0.0;1;-1;0.0;-1
1500;-1;3.9879999999999995;2.969;1.019;0.0;1;-1;0.0;-1
1500;-1;4.016;3.016;1.0;0.0;1;-1;0.0;-1
1500;-1;4.548;3.532;1.016;0.0;1;-1;0.0;-1
1500;-1;5.095;4.079;1.016;0.0;1;-1;0.0;-1
1500;-1;4.673;3.642;1.031;0.0;1;-1;0.0;-1
1500;-1;3.86;2.844;1.016;0.0;1;-1;0.0;-1
1500;-1;3.9219999999999997;2.907;1.015;0.0;1;-1;0.0;-1
1500;-1;3.986;2.954;1.032;0.0;1;-1;0.0;-1
1500;-1;4.027;2.954;1.073;0.0;1;-1;0.0;-1
1500;-1;4.459;3.453;1.006;0.0;1;-1;0.0;-1
1500;-1;4.766;3.813;0.953;0.0;1;-1;0.0;-1
1500;-1;4.751;3.766;0.985;0.0;1;-1;0.0;-1
