nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.078;4.989;4.224;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.934;3.184;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.934;3.184;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.469;2.719;0.75;0.0;6;0.0;0.0;1.0
1500;0.063;3.484;2.734;0.75;0.0;6;0.0;0.0;1.0
1500;0.062;3.4699999999999998;2.734;0.736;0.0;6;0.0;0.0;1.0
1500;0.078;3.484;2.735;0.749;0.0;6;0.0;0.0;1.0
1500;0.078;3.6590000000000003;2.737;0.922;0.0;6;0.0;0.0;1.0
1500;0.078;4.48;3.716;0.764;0.0;6;0.0;0.0;1.0
1500;0.078;4.657;3.908;0.749;0.0;6;0.0;0.0;1.0
1500;0.063;4.125;3.359;0.766;0.0;6;0.0;0.0;1.0
1500;0.078;3.9250000000000003;3.188;0.737;0.0;6;0.0;0.0;1.0
1500;0.063;3.813;3.063;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.704;2.938;0.766;0.0;6;0.0;0.0;1.0
1500;0.062;3.499;2.734;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.468;2.719;0.749;0.0;6;0.0;0.0;1.0
1500;0.062;3.48;2.731;0.749;0.0;6;0.0;0.0;1.0
1500;0.079;3.472;2.722;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.493;2.734;0.759;0.0;6;0.0;0.0;1.0
1500;0.062;3.6550000000000002;2.89;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.686;2.921;0.765;0.0;6;0.0;0.0;1.0
1500;0.063;3.5620000000000003;2.797;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.717;2.89;0.827;0.0;6;0.0;0.0;1.0
1500;0.078;3.531;2.766;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.656;2.906;0.75;0.0;6;0.0;0.0;1.0
1500;0.063;3.485;2.735;0.75;0.0;6;0.0;0.0;1.0
1500;0.076;3.491;2.726;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.601;2.836;0.765;0.0;6;0.0;0.0;1.0
1500;0.062;3.468;2.719;0.749;0.0;6;0.0;0.0;1.0
1500;0.079;3.483;2.734;0.749;0.0;6;0.0;0.0;1.0
1500;0.062;3.515;2.75;0.765;0.0;6;0.0;0.0;1.0
1500;0.094;3.499;2.75;0.749;0.0;6;0.0;0.0;1.0
1500;0.078;3.5;2.75;0.75;0.0;6;0.0;0.0;1.0
1500;0.062;3.484;2.734;0.75;0.0;6;0.0;0.0;1.0
1500;0.063;3.483;2.734;0.749;0.0;6;0.0;0.0;1.0
1500;0.063;3.467;2.718;0.749;0.0;6;0.0;0.0;1.0
1500;0.078;3.761;2.995;0.766;0.0;6;0.0;0.0;1.0
1500;0.063;3.498;2.733;0.765;0.0;6;0.0;0.0;1.0
1500;0.078;3.484;2.719;0.765;0.0;6;0.0;0.0;1.0
1500;0.062;3.469;2.719;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.483;2.718;0.765;0.0;6;0.0;0.0;1.0
1500;0.063;3.546;2.78;0.766;0.0;6;0.0;0.0;1.0
1500;0.078;3.56;2.732;0.828;0.0;6;0.0;0.0;1.0
1500;0.062;3.471;2.721;0.75;0.0;6;0.0;0.0;1.0
1500;0.078;3.498;2.733;0.765;0.0;6;0.0;0.0;1.0
1500;0.063;3.799;3.048;0.751;0.0;6;0.0;0.0;1.0
1500;0.078;3.692;2.943;0.749;0.0;6;0.0;0.0;1.0
1500;0.063;3.588;2.839;0.749;0.0;6;0.0;0.0;1.0
1500;0.078;3.598;2.848;0.75;0.0;6;0.0;0.0;1.0
1500;0.062;3.732;2.986;0.746;0.0;6;0.0;0.0;1.0
1500;0.063;3.5300000000000002;2.781;0.749;0.0;6;0.0;0.0;1.0
1500;0.063;3.4850000000000003;2.72;0.765;0.0;6;0.0;0.0;1.0
1500;0.062;3.467;2.718;0.749;0.0;6;0.0;0.0;1.0
