nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;0.077;1.9529999999999998;1.44;0.512;0.001;5;0.0;0.0;1.0;56.0;61.0;-1;2.888;1000.0;2887.0
1000;0.062;1.6380000000000001;1.28;0.356;0.002;5;0.0;0.0;1.0;51.0;59.0;-1;2.81;1000.0;2808.0
1000;0.071;1.56;1.17;0.39;0.0;5;0.0;0.0;1.0;34.0;34.0;-1;2.831;1000.0;2831.0
1000;0.051;1.504;1.18;0.324;0.0;5;0.0;0.0;1.0;31.0;30.0;-1;2.718;1000.0;2716.0
1000;0.054;1.6329999999999998;1.16;0.472;0.001;5;0.0;0.0;1.0;17.0;18.0;-1;2.741;1000.0;2741.0
1000;0.059;1.6239999999999999;1.17;0.454;0.0;5;0.0;0.0;1.0;36.0;40.0;-1;2.784;1000.0;2782.0
1000;0.075;1.474;1.15;0.324;0.0;5;0.0;0.0;1.0;34.0;35.0;-1;2.838;1000.0;2837.0
1000;0.044;1.5010000000000001;1.191;0.31;0.0;5;0.0;0.0;1.0;37.0;37.0;-1;2.798;1000.0;2798.0
1000;0.037;1.562;1.25;0.312;0.0;5;0.0;0.0;1.0;23.0;23.0;-1;2.886;1000.0;2884.0
1000;0.042;1.498;1.18;0.318;0.0;5;0.0;0.0;1.0;48.0;56.0;-1;2.774;1000.0;2773.0
600;0.031;0.525;0.415;0.11;0.0;5;0.0;0.0;1.0;25.0;25.0;-1;2.8366666666666664;600.0;1701.0
600;0.022;0.517;0.415;0.102;0.0;5;0.0;0.0;1.0;14.0;12.0;-1;2.86;600.0;1715.0
600;0.025;0.51;0.41;0.1;0.0;5;0.0;0.0;1.0;33.0;41.0;-1;2.888333333333333;600.0;1733.0
600;0.032;0.939;0.82;0.119;0.0;5;0.0;0.0;1.0;35.0;37.0;-1;2.845;600.0;1705.0
600;0.031;0.502;0.41;0.092;0.0;5;0.0;0.0;1.0;24.0;26.0;-1;2.7866666666666666;600.0;1671.0
600;0.027;0.502;0.41;0.092;0.0;5;0.0;0.0;1.0;20.0;18.0;-1;2.783333333333333;600.0;1669.0
600;0.017;0.489;0.41;0.079;0.0;5;0.0;0.0;1.0;32.0;31.0;-1;2.7933333333333334;600.0;1677.0
600;0.026;0.512;0.41;0.102;0.0;5;0.0;0.0;1.0;16.0;15.0;-1;2.8516666666666666;600.0;1710.0
600;0.032;0.509;0.41;0.099;0.0;5;0.0;0.0;1.0;14.0;16.0;-1;2.8383333333333334;600.0;1703.0
600;0.022;0.491;0.4;0.091;0.0;5;0.0;0.0;1.0;30.0;33.0;-1;2.7816666666666667;600.0;1668.0
800;0.036;1.0739999999999998;0.885;0.186;0.003;5;0.0;0.0;1.0;48.0;57.0;-1;2.81;800.0;2247.0
800;0.034;1.077;0.898;0.179;0.0;5;0.0;0.0;1.0;18.0;17.0;-1;2.79375;800.0;2234.0
800;0.032;1.01;0.817;0.193;0.0;5;0.0;0.0;1.0;39.0;39.0;-1;2.83875;800.0;2271.0
800;0.03;0.99;0.801;0.189;0.0;5;0.0;0.0;1.0;15.0;14.0;-1;2.82;800.0;2255.0
800;0.034;1.029;0.846;0.183;0.0;5;0.0;0.0;1.0;32.0;34.0;-1;2.77625;800.0;2220.0
800;0.045;1.2019999999999997;1.013;0.188;0.001;5;0.0;0.0;1.0;43.0;52.0;-1;2.8575;800.0;2285.0
800;0.04;1.25;1.064;0.186;0.0;5;0.0;0.0;1.0;16.0;14.0;-1;2.81375;800.0;2250.0
800;0.037;1.212;1.032;0.18;0.0;5;0.0;0.0;1.0;34.0;42.0;-1;2.77875;800.0;2222.0
800;0.047;1.128;0.947;0.181;0.0;5;0.0;0.0;1.0;35.0;46.0;-1;2.75;800.0;2199.0
800;0.03;1.2810000000000001;1.098;0.183;0.0;5;0.0;0.0;1.0;24.0;23.0;-1;2.80375;800.0;2243.0
