nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout;
200;-1;0.266;0.219;0.047;0.0;1;-1;0;-1;0;1;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;1;-1;0;-1;0;1;2;1.975;200;388;-1;0;
200;-1;0.078;0.063;0.015;0.0;1;-1;0;-1;0;1;2;1.98;200;387;-1;0;
200;-1;0.079;0.063;0.016;0.0;1;-1;0;-1;0;1;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.016;0.0;1;-1;0;-1;0;1;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;1;-1;0;-1;0;1;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;1;-1;0;-1;0;1;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;1;-1;0;-1;0;1;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;1;-1;0;-1;0;1;2;1.975;200;382;-1;0;
200;-1;0.062;0.047;0.015;0.0;1;-1;0;-1;0;1;2;1.975;200;357;-1;0;
200;-1;0.235;0.219;0.016;0.0;2;-1;0;-1;1;1;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;2;-1;0;-1;1;1;2;1.975;200;388;-1;0;
200;-1;0.078;0.063;0.015;0.0;2;-1;0;-1;1;1;2;1.98;200;387;-1;0;
200;-1;0.079;0.063;0.016;0.0;2;-1;0;-1;1;1;2;1.98;200;372;-1;0;
200;-1;0.093;0.062;0.031;0.0;2;-1;0;-1;1;1;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;2;-1;0;-1;1;1;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;2;-1;0;-1;1;1;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;2;-1;0;-1;0;1;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;2;-1;0;-1;1;1;2;1.975;200;382;-1;0;
200;-1;0.062;0.047;0.015;0.0;2;-1;0;-1;1;1;2;1.975;200;357;-1;0;
200;-1;0.25;0.219;0.016;0.015;3;-1;0;-1;4;5;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;3;-1;0;-1;2;1;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;3;-1;0;-1;1;1;2;1.98;200;387;-1;0;
200;-1;0.078;0.063;0.015;0.0;3;-1;0;-1;1;1;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.016;0.0;3;-1;0;-1;4;5;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;3;-1;0;-1;2;1;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;3;-1;0;-1;2;1;2;1.975;200;359;-1;0;
200;-1;0.078;0.078;0.0;0.0;3;-1;0;-1;2;1;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;3;-1;0;-1;1;1;2;1.975;200;382;-1;0;
200;-1;0.062;0.047;0.015;0.0;3;-1;0;-1;1;1;2;1.975;200;357;-1;0;
200;-1;0.219;0.219;0.0;0.0;4;-1;0;-1;5;5;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;4;-1;0;-1;3;4;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;4;-1;0;-1;2;1;2;1.98;200;387;-1;0;
200;-1;0.063;0.063;0.0;0.0;4;-1;0;-1;3;3;2;1.98;200;372;-1;0;
200;-1;0.077;0.062;0.015;0.0;4;-1;0;-1;6;8;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;4;-1;0;-1;3;1;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;4;-1;0;-1;3;1;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;4;-1;0;-1;3;1;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;4;-1;0;-1;5;5;2;1.975;200;382;-1;0;
200;-1;0.047;0.047;0.0;0.0;4;-1;0;-1;3;1;2;1.975;200;357;-1;0;
200;-1;0.23399999999999999;0.219;0.015;0.0;5;-1;0;-1;7;8;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;5;-1;0;-1;3;4;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;5;-1;0;-1;7;7;2;1.98;200;387;-1;0;
200;-1;0.063;0.063;0.0;0.0;5;-1;0;-1;4;3;2;1.98;200;372;-1;0;
200;-1;0.077;0.062;0.015;0.0;5;-1;0;-1;8;10;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;5;-1;0;-1;6;6;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;5;-1;0;-1;4;1;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;5;-1;0;-1;4;1;2;1.975;200;383;-1;0;
200;-1;0.078;0.078;0.0;0.0;5;-1;0;-1;6;6;2;1.975;200;382;-1;0;
200;-1;0.063;0.047;0.016;0.0;5;-1;0;-1;3;1;2;1.975;200;357;-1;0;
200;-1;0.23399999999999999;0.219;0.015;0.0;6;-1;0;-1;6;7;2;1.975;200;381;-1;0;
200;-1;0.093;0.093;0.0;0.0;6;-1;0;-1;3;4;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;6;-1;0;-1;10;12;2;1.98;200;387;-1;0;
200;-1;0.079;0.063;0.016;0.0;6;-1;0;-1;4;3;2;1.98;200;372;-1;0;
200;-1;0.062;0.062;0.0;0.0;6;-1;0;-1;13;17;2;1.97;200;391;-1;0;
200;-1;0.062;0.047;0.015;0.0;6;-1;0;-1;5;5;2;1.975;200;384;-1;0;
200;-1;0.078;0.062;0.016;0.0;6;-1;0;-1;4;1;2;1.975;200;359;-1;0;
200;-1;0.093;0.078;0.015;0.0;6;-1;0;-1;10;11;2;1.975;200;383;-1;0;
200;-1;0.078;0.078;0.0;0.0;6;-1;0;-1;9;10;2;1.975;200;382;-1;0;
200;-1;0.063;0.047;0.016;0.0;6;-1;0;-1;5;1;2;1.975;200;357;-1;0;
200;-1;0.219;0.219;0.0;0.0;7;-1;0;-1;6;7;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;7;-1;0;-1;7;7;2;1.975;200;388;-1;0;
200;-1;0.078;0.063;0.015;0.0;7;-1;0;-1;12;14;2;1.98;200;387;-1;0;
200;-1;0.063;0.063;0.0;0.0;7;-1;0;-1;6;3;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.016;0.0;7;-1;0;-1;13;17;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;7;-1;0;-1;5;5;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;7;-1;0;-1;6;3;2;1.975;200;359;-1;0;
200;-1;0.078;0.078;0.0;0.0;7;-1;0;-1;10;11;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;7;-1;0;-1;10;10;2;1.975;200;382;-1;0;
200;-1;0.062;0.047;0.015;0.0;7;-1;0;-1;4;1;2;1.975;200;357;-1;0;
200;-1;0.235;0.219;0.016;0.0;8;-1;0;-1;13;16;2;1.975;200;381;-1;0;
200;-1;0.093;0.093;0.0;0.0;8;-1;0;-1;10;9;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;8;-1;0;-1;14;16;2;1.98;200;387;-1;0;
200;-1;0.078;0.063;0.015;0.0;8;-1;0;-1;6;3;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.0;0.016;8;-1;0;-1;13;17;2;1.97;200;391;-1;0;
200;-1;0.047;0.047;0.0;0.0;8;-1;0;-1;9;8;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;8;-1;0;-1;6;3;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;8;-1;0;-1;13;15;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;8;-1;0;-1;14;14;2;1.975;200;382;-1;0;
200;-1;0.047;0.047;0.0;0.0;8;-1;0;-1;5;1;2;1.975;200;357;-1;0;
200;-1;0.23399999999999999;0.219;0.015;0.0;9;-1;0;-1;18;22;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;9;-1;0;-1;9;8;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.0;0.016;9;-1;0;-1;13;15;2;1.98;200;387;-1;0;
200;-1;0.063;0.063;0.0;0.0;9;-1;0;-1;8;3;2;1.98;200;372;-1;0;
200;-1;0.077;0.062;0.015;0.0;9;-1;0;-1;18;22;2;1.97;200;391;-1;0;
200;-1;0.047;0.047;0.0;0.0;9;-1;0;-1;12;14;2;1.975;200;384;-1;0;
200;-1;0.078;0.062;0.016;0.0;9;-1;0;-1;12;9;2;1.975;200;359;-1;0;
200;-1;0.093;0.078;0.015;0.0;9;-1;0;-1;16;20;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;9;-1;0;-1;13;13;2;1.975;200;382;-1;0;
200;-1;0.062;0.047;0.015;0.0;9;-1;0;-1;5;1;2;1.975;200;357;-1;0;
200;-1;0.235;0.219;0.016;0.0;10;-1;0;-1;26;34;2;1.975;200;381;-1;0;
200;-1;0.124;0.093;0.016;0.015;10;-1;0;-1;16;16;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;10;-1;0;-1;13;15;2;1.98;200;387;-1;0;
200;-1;0.078;0.063;0.015;0.0;10;-1;0;-1;8;3;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.016;0.0;10;-1;0;-1;17;21;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;10;-1;0;-1;12;14;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;10;-1;0;-1;9;6;2;1.975;200;359;-1;0;
200;-1;0.094;0.078;0.016;0.0;10;-1;0;-1;16;20;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;10;-1;0;-1;12;12;2;1.975;200;382;-1;0;
200;-1;0.047;0.047;0.0;0.0;10;-1;0;-1;6;1;2;1.975;200;357;-1;0;
200;-1;0.25;0.219;0.031;0.0;11;-1;0;-1;33;48;2;1.975;200;381;-1;0;
200;-1;0.093;0.093;0.0;0.0;11;-1;0;-1;11;11;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;11;-1;0;-1;16;17;2;1.98;200;387;-1;0;
200;-1;0.063;0.063;0.0;0.0;11;-1;0;-1;18;19;2;1.98;200;372;-1;0;
200;-1;0.082;0.062;0.02;0.0;11;-1;0;-1;16;20;2;1.97;200;391;-1;0;
200;-1;0.062;0.047;0.015;0.0;11;-1;0;-1;18;21;2;1.975;200;384;-1;0;
200;-1;0.078;0.062;0.016;0.0;11;-1;0;-1;14;14;2;1.975;200;359;-1;0;
200;-1;0.093;0.078;0.015;0.0;11;-1;0;-1;34;47;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;11;-1;0;-1;16;18;2;1.975;200;382;-1;0;
200;-1;0.063;0.047;0.016;0.0;11;-1;0;-1;6;1;2;1.975;200;357;-1;0;
200;-1;0.253;0.219;0.034;0.0;12;-1;0;-1;32;47;2;1.975;200;381;-1;0;
200;-1;0.102;0.093;0.009;0.0;12;-1;0;-1;16;17;2;1.975;200;388;-1;0;
200;-1;0.079;0.063;0.016;0.0;12;-1;0;-1;22;22;2;1.98;200;387;-1;0;
200;-1;0.079;0.063;0.016;0.0;12;-1;0;-1;18;19;2;1.98;200;372;-1;0;
200;-1;0.093;0.062;0.015;0.016;12;-1;0;-1;25;31;2;1.97;200;391;-1;0;
200;-1;0.063;0.047;0.016;0.0;12;-1;0;-1;28;35;2;1.975;200;384;-1;0;
200;-1;0.077;0.062;0.015;0.0;12;-1;0;-1;14;14;2;1.975;200;359;-1;0;
200;-1;0.109;0.078;0.031;0.0;12;-1;0;-1;36;50;2;1.975;200;383;-1;0;
200;-1;0.094;0.078;0.016;0.0;12;-1;0;-1;16;18;2;1.975;200;382;-1;0;
200;-1;0.063;0.047;0.016;0.0;12;-1;0;-1;22;22;2;1.975;200;357;-1;0;
200;-1;0.23399999999999999;0.219;0.015;0.0;13;-1;0;-1;32;47;2;1.975;200;381;-1;0;
200;-1;0.109;0.093;0.016;0.0;13;-1;0;-1;16;17;2;1.975;200;388;-1;0;
200;-1;0.078;0.063;0.015;0.0;13;-1;0;-1;18;18;2;1.98;200;387;-1;0;
200;-1;0.079;0.063;0.016;0.0;13;-1;0;-1;16;17;2;1.98;200;372;-1;0;
200;-1;0.078;0.062;0.016;0.0;13;-1;0;-1;24;30;2;1.97;200;391;-1;0;
200;-1;0.078;0.047;0.031;0.0;13;-1;0;-1;24;31;2;1.975;200;384;-1;0;
200;-1;0.062;0.062;0.0;0.0;13;-1;0;-1;12;12;2;1.975;200;359;-1;0;
