nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
198;-1;0.304;0.193;0.11;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
199;-1;0.32999999999999996;0.178;0.152;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.482412060301508;199.0;1091.0;-1;0.0
200;-1;0.127;0.082;0.044;0.001;1;-1;0.0;-1;0.0;1.0;2.0;3.985;200.0;798.0;-1;0.0
200;-1;0.159;0.11;0.047;0.002;1;-1;0.0;-1;0.0;1.0;2.0;4.31;200.0;862.0;-1;0.0
200;-1;0.149;0.103;0.042;0.004;1;-1;0.0;-1;0.0;1.0;2.0;4.06;200.0;813.0;-1;0.0
200;-1;0.157;0.111;0.046;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.315;200.0;864.0;-1;0.0
200;-1;0.165;0.096;0.068;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.11;200.0;1023.0;-1;0.0
200;-1;0.119;0.082;0.036;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.2;200.0;841.0;-1;0.0
200;-1;0.14500000000000002;0.084;0.06;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.095;200.0;1020.0;-1;0.0
200;-1;0.196;0.127;0.067;0.002;1;-1;0.0;-1;0.0;1.0;2.0;5.46;200.0;1093.0;-1;0.0
200;-1;0.14300000000000002;0.093;0.049;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.665;200.0;933.0;-1;0.0
200;-1;0.175;0.109;0.065;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.49;200.0;1098.0;-1;0.0
200;-1;0.139;0.095;0.044;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.13;200.0;1026.0;-1;0.0
200;-1;0.139;0.092;0.047;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.69;200.0;938.0;-1;0.0
200;-1;0.18;0.11;0.07;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.795;200.0;1160.0;-1;0.0
200;-1;0.14100000000000001;0.091;0.048;0.002;1;-1;0.0;-1;0.0;1.0;2.0;4.805;200.0;961.0;-1;0.0
200;-1;0.129;0.082;0.036;0.011;1;-1;0.0;-1;0.0;1.0;2.0;4.655;200.0;931.0;-1;0.0
200;-1;0.14100000000000001;0.082;0.058;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.055;200.0;1011.0;-1;0.0
200;-1;0.139;0.094;0.044;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.05;200.0;1011.0;-1;0.0
200;-1;0.15999999999999998;0.086;0.073;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.87;200.0;1174.0;-1;0.0
200;-1;0.173;0.11;0.062;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.41;200.0;1083.0;-1;0.0
200;-1;0.112;0.064;0.047;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.76;200.0;952.0;-1;0.0
200;-1;0.16;0.095;0.065;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.385;200.0;1078.0;-1;0.0
200;-1;0.124;0.076;0.047;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.805;200.0;961.0;-1;0.0
200;-1;0.197;0.123;0.073;0.001;1;-1;0.0;-1;0.0;1.0;2.0;5.855;200.0;1172.0;-1;0.0
200;-1;0.187;0.115;0.067;0.005;1;-1;0.0;-1;0.0;1.0;2.0;5.81;200.0;1163.0;-1;0.0
200;-1;0.15300000000000002;0.084;0.058;0.011;1;-1;0.0;-1;0.0;1.0;2.0;5.8;200.0;1162.0;-1;0.0
450;-1;27.531;11.023;16.503;0.005;1;-1;0.0;-1;0.0;1.0;2.0;39.617777777777775;450.0;17831.0;-1;0.0
1150;-1;-1.0;247.611;54.244;0.0;1;-1;0.0;-1;-1.0;-1.0;2.0;70.49130434782609;1150.0;81068.0;-1;1.0
1534;-1;-1.0;301.899;0.0;0.0;1;-1;0.0;-1;-1.0;-1.0;2.0;82.79465449804432;-1.0;-1.0;-1;1.0
1534;-1;-1.0;300.762;0.0;0.0;1;-1;0.0;-1;-1.0;-1.0;2.0;82.24315514993481;-1.0;-1.0;-1;1.0
