nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
198;-1;0.28500000000000003;0.281;0.003;0.001;1;-1;0.0;-1;20.0;18.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.28400000000000003;0.281;0.002;0.001;2;-1;0.0;-1;35.0;33.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29600000000000004;0.281;0.008;0.007;3;-1;0.0;-1;46.0;48.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.28500000000000003;0.281;0.003;0.001;4;-1;0.0;-1;57.0;61.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29600000000000004;0.281;0.008;0.007;5;-1;0.0;-1;75.0;80.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29500000000000004;0.281;0.008;0.006;6;-1;0.0;-1;83.0;91.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29200000000000004;0.281;0.008;0.003;7;-1;0.0;-1;90.0;103.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.31000000000000005;0.281;0.019;0.01;8;-1;0.0;-1;92.0;107.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.281;0.003;0.013;9;-1;0.0;-1;105.0;124.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.324;0.281;0.002;0.041;10;-1;0.0;-1;111.0;133.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.341;0.281;0.002;0.058;11;-1;0.0;-1;115.0;147.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.41600000000000004;0.281;0.002;0.133;12;-1;0.0;-1;125.0;167.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.404;0.281;0.002;0.121;13;-1;0.0;-1;130.0;180.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.48800000000000004;0.281;0.004;0.203;14;-1;0.0;-1;131.0;184.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.7070000000000001;0.281;0.006;0.42;15;-1;0.0;-1;135.0;200.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;1.166;0.281;0.005;0.88;16;-1;0.0;-1;143.0;214.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;2.083;0.281;0.007;1.795;17;-1;0.0;-1;145.0;223.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;4.393;0.281;0.004;4.108;18;-1;0.0;-1;152.0;236.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;8.33;0.281;0.004;8.045;19;-1;0.0;-1;154.0;241.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;16.353;0.281;0.004;16.068;20;-1;0.0;-1;157.0;250.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;29.752;0.281;0.004;29.467;21;-1;0.0;-1;165.0;278.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;54.711;0.281;0.003;54.427;22;-1;0.0;-1;165.0;296.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;114.02799999999999;0.281;0.001;113.746;23;-1;0.0;-1;167.0;304.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;260.877;0.281;0.001;260.595;24;-1;0.0;-1;168.0;321.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;577.7139999999999;0.281;0.0;577.433;25;-1;0.0;-1;170.0;336.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;-1.0;0.281;0.004;732.028;26;-1;0.0;-1;170.0;347.0;2.0;4.075757575757576;198.0;808.0;-1;1.0
