nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
198;-1;0.324;0.224;0.099;0.001;1;-1;0.0;-1;0.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29200000000000004;0.224;0.068;0.0;2;-1;0.0;-1;1.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.264;0.224;0.04;0.0;3;-1;0.0;-1;1.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.263;0.224;0.039;0.0;4;-1;0.0;-1;3.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.264;0.224;0.037;0.003;5;-1;0.0;-1;3.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.27;0.224;0.045;0.001;6;-1;0.0;-1;3.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.272;0.224;0.047;0.001;7;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.272;0.224;0.047;0.001;8;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.258;0.224;0.033;0.001;9;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.261;0.224;0.037;0.0;10;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.257;0.224;0.033;0.0;11;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.255;0.224;0.029;0.002;12;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.254;0.224;0.028;0.002;13;-1;0.0;-1;5.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.254;0.224;0.029;0.001;14;-1;0.0;-1;11.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.254;0.224;0.029;0.001;15;-1;0.0;-1;11.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.259;0.224;0.034;0.001;16;-1;0.0;-1;11.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.27;0.224;0.046;0.0;17;-1;0.0;-1;10.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
