nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
198;-1;0.42200000000000004;0.266;0.156;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;2;-1;0.0;-1;2.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;3;-1;0.0;-1;2.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.329;0.266;0.063;0.0;4;-1;0.0;-1;7.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;5;-1;0.0;-1;7.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;6;-1;0.0;-1;7.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.36;0.266;0.094;0.0;7;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;8;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.329;0.266;0.047;0.016;9;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;10;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;11;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;12;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;13;-1;0.0;-1;15.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;14;-1;0.0;-1;33.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;15;-1;0.0;-1;33.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;16;-1;0.0;-1;33.0;2.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;17;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;18;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;19;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;20;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;21;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;22;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.29700000000000004;0.266;0.031;0.0;23;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;24;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;25;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;26;-1;0.0;-1;33.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.314;0.266;0.048;0.0;27;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;28;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;29;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;30;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;31;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;32;-1;0.0;-1;66.0;5.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;33;-1;0.0;-1;86.0;34.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;34;-1;0.0;-1;86.0;34.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;35;-1;0.0;-1;86.0;34.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;36;-1;0.0;-1;86.0;34.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;37;-1;0.0;-1;86.0;31.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;38;-1;0.0;-1;86.0;31.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;39;-1;0.0;-1;86.0;31.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;40;-1;0.0;-1;86.0;29.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;41;-1;0.0;-1;86.0;29.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;42;-1;0.0;-1;86.0;27.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;43;-1;0.0;-1;86.0;27.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;44;-1;0.0;-1;86.0;26.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.313;0.266;0.047;0.0;45;-1;0.0;-1;86.0;25.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.312;0.266;0.046;0.0;46;-1;0.0;-1;86.0;25.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.314;0.266;0.048;0.0;47;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.329;0.266;0.063;0.0;48;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.317;0.266;0.051;0.0;49;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.329;0.266;0.063;0.0;50;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;51;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.314;0.266;0.048;0.0;52;-1;0.0;-1;116.0;71.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;53;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;54;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;55;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.328;0.266;0.062;0.0;56;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34500000000000003;0.266;0.079;0.0;57;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.34400000000000003;0.266;0.078;0.0;58;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
198;-1;0.359;0.266;0.093;0.0;59;-1;0.0;-1;137.0;140.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
