nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
600;-1;0.724;0.703;0.02;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.30833333333333335;600.0;185.0;-1;0.0
600;-1;0.506;0.494;0.011;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.285;600.0;171.0;-1;0.0
600;-1;0.34900000000000003;0.342;0.006;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.31166666666666665;600.0;187.0;-1;0.0
600;-1;0.349;0.345;0.003;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.342;0.334;0.003;0.005;1;-1;0.0;-1;0.0;1.0;2.0;0.29333333333333333;600.0;176.0;-1;0.0
600;-1;0.35;0.345;0.004;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.31833333333333336;600.0;191.0;-1;0.0
600;-1;0.342;0.335;0.006;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.2916666666666667;600.0;175.0;-1;0.0
600;-1;0.34600000000000003;0.343;0.002;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
600;-1;0.335;0.33;0.005;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.28833333333333333;600.0;173.0;-1;0.0
600;-1;0.337;0.332;0.004;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.2816666666666667;600.0;169.0;-1;0.0
800;-1;0.534;0.522;0.012;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.4;800.0;320.0;-1;0.0
800;-1;0.493;0.479;0.013;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.40125;800.0;321.0;-1;0.0
800;-1;0.493;0.481;0.01;0.002;1;-1;0.0;-1;0.0;1.0;2.0;0.4;800.0;320.0;-1;0.0
800;-1;0.504;0.488;0.011;0.005;1;-1;0.0;-1;0.0;1.0;2.0;0.415;800.0;332.0;-1;0.0
800;-1;0.503;0.489;0.013;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.415;800.0;332.0;-1;0.0
800;-1;0.51;0.5;0.009;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.40625;800.0;325.0;-1;0.0
800;-1;0.49;0.481;0.008;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.41625;800.0;333.0;-1;0.0
800;-1;0.488;0.478;0.009;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.41;800.0;328.0;-1;0.0
800;-1;0.493;0.481;0.011;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.40875;800.0;327.0;-1;0.0
800;-1;0.497;0.485;0.011;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.39625;800.0;317.0;-1;0.0
1000;-1;0.767;0.746;0.02;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.494;1000.0;494.0;-1;0.0
1000;-1;0.777;0.759;0.018;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.478;1000.0;478.0;-1;0.0
1000;-1;0.773;0.755;0.016;0.002;1;-1;0.0;-1;0.0;1.0;2.0;0.454;1000.0;454.0;-1;0.0
1000;-1;0.77;0.745;0.024;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.519;1000.0;519.0;-1;0.0
1000;-1;0.774;0.753;0.02;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.518;1000.0;518.0;-1;0.0
1000;-1;0.763;0.743;0.019;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.493;1000.0;493.0;-1;0.0
1000;-1;0.8160000000000001;0.796;0.019;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.485;1000.0;485.0;-1;0.0
1000;-1;0.809;0.795;0.013;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.474;1000.0;474.0;-1;0.0
1000;-1;0.804;0.79;0.013;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.498;1000.0;498.0;-1;0.0
1000;-1;0.785;0.769;0.016;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.519;1000.0;519.0;-1;0.0
1200;-1;1.139;1.109;0.03;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.6083333333333333;1200.0;730.0;-1;0.0
1200;-1;1.1280000000000001;1.106;0.022;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.5858333333333333;1200.0;703.0;-1;0.0
1200;-1;1.391;1.366;0.025;0.0;1;-1;0.0;-1;0.0;1.0;2.0;0.6216666666666667;1200.0;746.0;-1;0.0
1200;-1;1.4789999999999999;1.456;0.022;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.5883333333333334;1200.0;706.0;-1;0.0
1200;-1;1.4709999999999999;1.445;0.025;0.001;1;-1;0.0;-1;0.0;1.0;2.0;0.6266666666666667;1200.0;752.0;-1;0.0
