nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
100;0.003;2.011;1.465;0.512;0.034;7;0.0;0.0;1.0
100;0.001;1.5669999999999997;1.164;0.366;0.037;7;0.0;0.0;1.0
100;0.002;1.5539999999999998;1.155;0.358;0.041;7;0.0;0.0;1.0
100;0.004;1.4789999999999999;1.174;0.293;0.012;7;0.0;0.0;1.0
100;0.007;2.042;1.707;0.329;0.006;7;0.0;0.0;1.0
100;0.002;1.4999999999999998;1.174;0.315;0.011;7;0.0;0.0;1.0
100;0.002;1.5639999999999998;1.188;0.366;0.01;7;0.0;0.0;1.0
100;0.003;1.646;1.355;0.282;0.009;7;0.0;0.0;1.0
100;0.001;1.7269999999999999;1.406;0.311;0.01;7;0.0;0.0;1.0
100;0.002;1.5479999999999998;1.253;0.287;0.008;7;0.0;0.0;1.0
150;0.004;4.429;3.722;0.69;0.017;7;0.0;0.0;1.0
150;0.021;4.7589999999999995;3.961;0.788;0.01;7;0.0;0.0;1.0
150;0.008;4.9990000000000006;4.253;0.735;0.011;7;0.0;0.0;1.0
150;0.001;5.375;4.665;0.701;0.009;7;0.0;0.0;1.0
150;0.003;4.598;3.747;0.836;0.015;7;0.0;0.0;1.0
150;0.0;5.464;4.596;0.836;0.032;7;0.0;0.0;1.0
150;0.005;4.914999999999999;4.044;0.859;0.012;7;0.0;0.0;1.0
150;0.012;4.606000000000001;3.793;0.804;0.009;7;0.0;0.0;1.0
150;0.001;4.894;4.076;0.809;0.009;7;0.0;0.0;1.0
150;0.005;4.732;3.946;0.775;0.011;7;0.0;0.0;1.0
200;0.008;10.589;9.154;1.419;0.016;7;0.0;0.0;1.0
200;0.024;9.622;8.285;1.331;0.006;7;0.0;0.0;1.0
200;0.035;9.954;8.565;1.377;0.012;7;0.0;0.0;1.0
200;0.012;9.974999999999998;8.52;1.447;0.008;7;0.0;0.0;1.0
200;0.005;9.846;8.451;1.385;0.01;7;0.0;0.0;1.0
200;0.012;9.63;8.234;1.384;0.012;7;0.0;0.0;1.0
200;0.031;9.42;8.133;1.275;0.012;7;0.0;0.0;1.0
200;0.007;9.924;8.34;1.574;0.01;7;0.0;0.0;1.0
200;0.011;9.515;8.205;1.301;0.009;7;0.0;0.0;1.0
200;0.002;9.557;8.179;1.363;0.015;7;0.0;0.0;1.0
250;0.001;18.652;16.349;2.294;0.009;7;0.0;0.0;1.0
250;0.006;17.541;15.42;2.11;0.011;7;0.0;0.0;1.0
250;0.004;18.070999999999998;15.748;2.314;0.009;7;0.0;0.0;1.0
250;0.006;18.483;16.154;2.315;0.014;7;0.0;0.0;1.0
250;0.035;18.295;16.184;2.103;0.008;7;0.0;0.0;1.0
250;0.01;18.45;16.155;2.284;0.011;7;0.0;0.0;1.0
250;0.007;18.28;16.042;2.223;0.015;7;0.0;0.0;1.0
250;0.004;18.316;15.952;2.356;0.008;7;0.0;0.0;1.0
250;0.003;17.846999999999998;15.671;2.162;0.014;7;0.0;0.0;1.0
250;0.018;18.549;16.278;2.264;0.007;7;0.0;0.0;1.0
50;0.001;0.35500000000000004;0.276;0.072;0.007;7;0.0;0.0;1.0
50;0.001;0.23600000000000002;0.185;0.042;0.009;7;0.0;0.0;1.0
50;0.0;0.233;0.193;0.034;0.006;7;0.0;0.0;1.0
50;0.001;0.275;0.2;0.068;0.007;7;0.0;0.0;1.0
50;0.0;0.242;0.18;0.048;0.014;7;0.0;0.0;1.0
50;0.0;0.308;0.248;0.049;0.011;7;0.0;0.0;1.0
50;0.001;0.35600000000000004;0.267;0.076;0.013;7;0.0;0.0;1.0
50;0.001;0.462;0.391;0.062;0.009;7;0.0;0.0;1.0
50;0.001;0.334;0.268;0.056;0.01;7;0.0;0.0;1.0
50;0.001;0.42600000000000005;0.342;0.07;0.014;7;0.0;0.0;1.0
