nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
500;0.016;195.12;186.697;8.36;0.063;9;0.0;0.0;1.0
500;0.047;212.684;205.802;6.772;0.11;9;0.0;0.0;1.0
500;0.031;212.19199999999998;204.774;7.277;0.141;9;0.0;0.0;1.0
500;0.031;180.165;171.364;8.708;0.093;9;0.0;0.0;1.0
500;0.047;154.179;147.342;6.759;0.078;9;0.0;0.0;1.0
500;0.109;161.252;154.719;6.455;0.078;9;0.0;0.0;1.0
500;0.0;151.248;142.454;8.701;0.093;9;0.0;0.0;1.0
500;0.0;133.992;127.198;6.716;0.078;9;0.0;0.0;1.0
500;0.109;130.375;123.89;6.407;0.078;9;0.0;0.0;1.0
500;0.047;134.096;126.298;7.627;0.171;9;0.0;0.0;1.0
500;0.016;194.619;186.697;7.907;0.015;8;0.0;0.0;1.0
500;0.046;212.527;205.802;6.709;0.016;8;0.0;0.0;1.0
500;0.032;211.384;204.774;6.563;0.047;8;0.0;0.0;1.0
500;0.015;179.52;171.364;8.125;0.031;8;0.0;0.0;1.0
500;0.063;154.12500000000003;147.342;6.752;0.031;8;0.0;0.0;1.0
500;0.109;160.986;154.719;6.236;0.031;8;0.0;0.0;1.0
500;0.0;150.342;142.454;7.857;0.031;8;0.0;0.0;1.0
500;0.0;134.35799999999998;127.198;7.144;0.016;8;0.0;0.0;1.0
500;0.11;130.071;123.89;6.165;0.016;8;0.0;0.0;1.0
500;0.047;133.495;126.298;7.166;0.031;8;0.0;0.0;1.0
500;0.0;200.31199999999998;186.697;13.6;0.015;7;0.0;0.0;1.0
500;0.031;214.90099999999998;205.802;9.083;0.016;7;0.0;0.0;1.0
500;0.031;212.494;204.774;7.705;0.015;7;0.0;0.0;1.0
500;0.016;180.056;171.364;8.692;0.0;7;0.0;0.0;1.0
500;0.046;155.62;147.342;8.278;0.0;7;0.0;0.0;1.0
500;0.079;161.392;154.719;6.673;0.0;7;0.0;0.0;1.0
500;0.015;150.964;142.454;8.51;0.0;7;0.0;0.0;1.0
500;0.0;134.417;127.198;7.219;0.0;7;0.0;0.0;1.0
500;0.094;130.39;123.89;6.5;0.0;7;0.0;0.0;1.0
500;0.047;133.69;126.298;7.392;0.0;7;0.0;0.0;1.0
500;0.0;193.9;186.697;7.187;0.016;6;0.0;0.0;1.0
500;0.031;212.933;205.802;7.131;0.0;6;0.0;0.0;1.0
500;0.031;212.196;204.774;7.422;0.0;6;0.0;0.0;1.0
500;0.016;177.872;171.364;6.508;0.0;6;0.0;0.0;1.0
500;0.063;155.07100000000003;147.342;7.729;0.0;6;0.0;0.0;1.0
500;0.093;162.253;154.719;7.534;0.0;6;0.0;0.0;1.0
500;0.0;150.458;142.454;8.004;0.0;6;0.0;0.0;1.0
500;0.016;135.035;127.198;7.837;0.0;6;0.0;0.0;1.0
500;0.078;131.434;123.89;7.544;0.0;6;0.0;0.0;1.0
500;0.031;134.556;126.298;8.258;0.0;6;0.0;0.0;1.0
500;0.015;195.369;186.697;8.672;0.0;5;0.0;0.0;1.0
500;0.047;214.227;205.802;8.425;0.0;5;0.0;0.0;1.0
500;0.031;213.853;204.774;9.079;0.0;5;0.0;0.0;1.0
500;0.032;181.21;171.364;9.846;0.0;5;0.0;0.0;1.0
500;0.062;156.77;147.342;9.428;0.0;5;0.0;0.0;1.0
500;0.094;163.466;154.719;8.747;0.0;5;0.0;0.0;1.0
500;0.016;152.394;142.454;9.94;0.0;5;0.0;0.0;1.0
500;0.0;135.869;127.198;8.671;0.0;5;0.0;0.0;1.0
500;0.14;132.569;123.89;8.679;0.0;5;0.0;0.0;1.0
500;0.063;135.249;126.298;8.951;0.0;5;0.0;0.0;1.0
500;0.0;195.86;186.697;9.163;0.0;4;0.0;0.0;1.0
500;0.063;214.74599999999998;205.802;8.944;0.0;4;0.0;0.0;1.0
500;0.015;213.728;204.774;8.954;0.0;4;0.0;0.0;1.0
500;0.032;180.169;171.364;8.805;0.0;4;0.0;0.0;1.0
500;0.047;156.198;147.342;8.856;0.0;4;0.0;0.0;1.0
500;0.109;162.86599999999999;154.719;8.147;0.0;4;0.0;0.0;1.0
500;0.0;151.12800000000001;142.454;8.674;0.0;4;0.0;0.0;1.0
500;0.0;136.07399999999998;127.198;8.876;0.0;4;0.0;0.0;1.0
500;0.094;132.455;123.89;8.565;0.0;4;0.0;0.0;1.0
500;0.046;135.161;126.298;8.863;0.0;4;0.0;0.0;1.0
500;0.0;196.761;186.697;10.064;0.0;3;0.0;0.0;1.0
500;0.047;215.906;205.802;10.104;0.0;3;0.0;0.0;1.0
500;0.015;213.996;204.774;9.222;0.0;3;0.0;0.0;1.0
500;0.015;179.965;171.364;8.601;0.0;3;0.0;0.0;1.0
500;0.062;155.49900000000002;147.342;8.157;0.0;3;0.0;0.0;1.0
500;0.141;162.471;154.719;7.752;0.0;3;0.0;0.0;1.0
500;0.0;151.267;142.454;8.813;0.0;3;0.0;0.0;1.0
500;0.015;135.408;127.198;8.21;0.0;3;0.0;0.0;1.0
500;0.11;132.121;123.89;8.231;0.0;3;0.0;0.0;1.0
500;0.047;134.923;126.298;8.625;0.0;3;0.0;0.0;1.0
500;0.0;195.542;186.697;8.845;0.0;2;0.0;0.0;1.0
500;0.031;214.33599999999998;205.802;8.534;0.0;2;0.0;0.0;1.0
500;0.031;213.041;204.774;8.267;0.0;2;0.0;0.0;1.0
500;0.016;179.882;171.364;8.518;0.0;2;0.0;0.0;1.0
500;0.078;155.906;147.342;8.564;0.0;2;0.0;0.0;1.0
500;0.109;162.957;154.719;8.238;0.0;2;0.0;0.0;1.0
500;0.0;151.142;142.454;8.688;0.0;2;0.0;0.0;1.0
500;0.0;135.819;127.198;8.621;0.0;2;0.0;0.0;1.0
500;0.11;132.329;123.89;8.439;0.0;2;0.0;0.0;1.0
500;0.048;136.082;126.298;9.784;0.0;2;0.0;0.0;1.0
500;0.015;193.745;186.697;7.048;0.0;1;0.0;0.0;1.0
500;0.031;213.993;205.802;8.191;0.0;1;0.0;0.0;1.0
500;0.031;213.114;204.774;8.34;0.0;1;0.0;0.0;1.0
500;0.031;179.011;171.364;7.647;0.0;1;0.0;0.0;1.0
500;0.031;155.155;147.342;7.813;0.0;1;0.0;0.0;1.0
500;0.063;162.267;154.719;7.548;0.0;1;0.0;0.0;1.0
500;0.0;150.23600000000002;142.454;7.782;0.0;1;0.0;0.0;1.0
500;0.0;134.833;127.198;7.635;0.0;1;0.0;0.0;1.0
500;0.094;131.9;123.89;8.01;0.0;1;0.0;0.0;1.0
500;0.031;134.845;126.298;8.547;0.0;1;0.0;0.0;1.0
