nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density
1000;5.311;7.558;5.136;2.406;0.016;12;0.0;0.0;1.0;29.0;35.0;-1;10.0
1000;2.154;6.939;4.642;2.281;0.016;12;0.0;0.0;1.0;16.0;23.0;-1;10.0
1000;3.865;6.646;4.303;2.328;0.015;12;0.0;0.0;1.0;25.0;33.0;-1;10.0
1000;4.177;7.517;5.28;2.222;0.015;12;0.0;0.0;1.0;18.0;25.0;-1;10.0
1000;1.801;9.707;7.55;2.157;0.0;12;0.0;0.0;1.0;21.0;29.0;-1;10.0
1000;3.359;9.26;7.037;2.223;0.0;12;0.0;0.0;1.0;16.0;22.0;-1;10.0
1000;3.729;7.8919999999999995;5.627;2.265;0.0;12;0.0;0.0;1.0;34.0;41.0;-1;10.0
1000;4.075;8.214;6.01;2.204;0.0;12;0.0;0.0;1.0;10.0;15.0;-1;10.0
1000;3.848;7.068999999999999;4.85;2.219;0.0;12;0.0;0.0;1.0;28.0;37.0;-1;10.0
1000;4.354;7.381;5.173;2.208;0.0;12;0.0;0.0;1.0;12.0;19.0;-1;10.0
1000;4.676;9.408999999999999;6.268;3.141;0.0;12;0.0;0.0;1.0;21.0;29.0;-1;12.0
1000;5.109;9.468;6.355;3.113;0.0;12;0.0;0.0;1.0;21.0;29.0;-1;12.0
1000;4.607;10.603;7.428;3.175;0.0;12;0.0;0.0;1.0;14.0;21.0;-1;12.0
1000;3.432;12.236;9.015;3.221;0.0;12;0.0;0.0;1.0;26.0;34.0;-1;12.0
1000;4.171;9.897;6.695;3.202;0.0;12;0.0;0.0;1.0;30.0;40.0;-1;12.0
1000;4.11;9.344999999999999;6.077;3.268;0.0;12;0.0;0.0;1.0;21.0;27.0;-1;12.0
1000;4.374;9.244;6.087;3.141;0.016;12;0.0;0.0;1.0;20.0;26.0;-1;12.0
1000;5.801;9.701;6.622;3.079;0.0;12;0.0;0.0;1.0;18.0;23.0;-1;12.0
1000;3.168;9.53;6.326;3.204;0.0;12;0.0;0.0;1.0;7.0;10.0;-1;12.0
1000;3.599;9.837;6.207;3.615;0.015;12;0.0;0.0;1.0;28.0;34.0;-1;12.0
1000;5.481;15.255;9.246;6.004;0.005;12;0.0;0.0;1.0;24.0;32.0;-1;14.0
1000;5.87;13.018;7.749;5.269;0.0;12;0.0;0.0;1.0;16.0;22.0;-1;14.0
1000;2.348;12.995999999999999;8.597;4.39;0.009;12;0.0;0.0;1.0;30.0;38.0;-1;14.0
1000;3.436;12.791;8.043;4.748;0.0;12;0.0;0.0;1.0;16.0;26.0;-1;14.0
1000;4.2;14.583;9.751;4.827;0.005;12;0.0;0.0;1.0;30.0;37.0;-1;14.0
1000;4.09;13.013;8.163;4.846;0.004;12;0.0;0.0;1.0;22.0;29.0;-1;14.0
