nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;0.48;10.199;6.065;4.12;0.014;8;0.0;0.0;1.0;20.0;26.0;-1;10.0;1000.0;9890.0
1000;0.299;7.917;4.66;3.257;0.0;8;0.0;0.0;1.0;17.0;23.0;-1;10.0;1000.0;9893.0
1000;0.299;7.2989999999999995;4.361;2.938;0.0;8;0.0;0.0;1.0;16.0;22.0;-1;10.0;1000.0;9894.0
1000;0.301;6.9;4.5;2.4;0.0;8;0.0;0.0;1.0;9.0;12.0;-1;10.0;1000.0;9888.0
1000;0.324;7.960000000000001;5.49;2.47;0.0;8;0.0;0.0;1.0;16.0;21.0;-1;10.0;1000.0;9905.0
1000;0.321;7.8500000000000005;5.315;2.535;0.0;8;0.0;0.0;1.0;8.0;11.0;-1;10.0;1000.0;9895.0
1000;0.29;7.0600000000000005;4.57;2.49;0.0;8;0.0;0.0;1.0;14.0;19.0;-1;10.0;1000.0;9883.0
1000;0.35;8.031;5.365;2.666;0.0;8;0.0;0.0;1.0;11.0;15.0;-1;10.0;1000.0;9895.0
1000;0.295;9.036999999999999;5.43;3.607;0.0;8;0.0;0.0;1.0;14.0;17.0;-1;10.0;1000.0;9865.0
1000;0.3;13.305000000000001;8.948;4.352;0.005;8;0.0;0.0;1.0;12.0;16.0;-1;10.0;1000.0;9878.0
1000;0.304;15.379999999999999;11.26;4.12;0.0;8;0.0;0.0;1.0;15.0;20.0;-1;12.0;1000.0;11857.0
1000;0.316;12.943000000000001;9.473;3.47;0.0;8;0.0;0.0;1.0;5.0;7.0;-1;12.0;1000.0;11852.0
1000;0.38;13.341000000000001;9.89;3.451;0.0;8;0.0;0.0;1.0;12.0;18.0;-1;12.0;1000.0;11852.0
1000;0.339;17.219;13.51;3.709;0.0;8;0.0;0.0;1.0;11.0;15.0;-1;12.0;1000.0;11816.0
1000;0.351;15.129;10.529;4.6;0.0;8;0.0;0.0;1.0;10.0;14.0;-1;12.0;1000.0;11835.0
1000;0.33;14.960999999999999;10.421;4.54;0.0;8;0.0;0.0;1.0;16.0;22.0;-1;12.0;1000.0;11856.0
1000;0.315;13.295;8.775;4.52;0.0;8;0.0;0.0;1.0;5.0;8.0;-1;12.0;1000.0;11849.0
1000;0.284;12.77;8.205;4.565;0.0;8;0.0;0.0;1.0;13.0;18.0;-1;12.0;1000.0;11842.0
1000;0.301;12.728;8.645;4.083;0.0;8;0.0;0.0;1.0;19.0;24.0;-1;12.0;1000.0;11847.0
1000;0.319;12.15;8.68;3.47;0.0;8;0.0;0.0;1.0;20.0;23.0;-1;12.0;1000.0;11854.0
1000;0.301;13.395;8.635;4.76;0.0;8;0.0;0.0;1.0;13.0;17.0;-1;14.0;1000.0;13779.0
1000;0.297;16.542;10.805;5.737;0.0;8;0.0;0.0;1.0;12.0;15.0;-1;14.0;1000.0;13811.0
