nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.243;2.818;2.403;0.415;0.0;8;0.0;0.0;1.0
1500;0.244;2.372;1.955;0.417;0.0;8;0.0;0.0;1.0
1500;0.251;2.35;1.939;0.411;0.0;8;0.0;0.0;1.0
1500;0.244;2.35;1.937;0.413;0.0;8;0.0;0.0;1.0
1500;0.246;2.349;1.937;0.412;0.0;8;0.0;0.0;1.0
1500;0.261;2.359;1.943;0.416;0.0;8;0.0;0.0;1.0
1500;0.183;2.328;1.916;0.412;0.0;8;0.0;0.0;1.0
1500;0.244;2.336;1.923;0.413;0.0;8;0.0;0.0;1.0
1500;0.238;2.355;1.939;0.416;0.0;8;0.0;0.0;1.0
1500;0.259;2.383;1.968;0.415;0.0;8;0.0;0.0;1.0
1500;0.257;2.343;1.927;0.416;0.0;8;0.0;0.0;1.0
1500;0.247;2.42;2.005;0.415;0.0;8;0.0;0.0;1.0
1500;0.254;2.3970000000000002;1.983;0.414;0.0;8;0.0;0.0;1.0
1500;0.279;2.348;1.935;0.413;0.0;8;0.0;0.0;1.0
1500;0.268;2.326;1.912;0.414;0.0;8;0.0;0.0;1.0
1500;0.235;2.308;1.895;0.413;0.0;8;0.0;0.0;1.0
1500;0.245;2.31;1.895;0.415;0.0;8;0.0;0.0;1.0
1500;0.254;2.326;1.911;0.415;0.0;8;0.0;0.0;1.0
1500;0.236;2.324;1.908;0.415;0.001;8;0.0;0.0;1.0
1500;0.253;2.318;1.904;0.414;0.0;8;0.0;0.0;1.0
1500;0.29;2.348;1.935;0.413;0.0;8;0.0;0.0;1.0
1500;0.296;2.31;1.899;0.411;0.0;8;0.0;0.0;1.0
1500;0.235;2.294;1.878;0.416;0.0;8;0.0;0.0;1.0
1500;0.243;2.296;1.882;0.414;0.0;8;0.0;0.0;1.0
1500;0.237;2.32;1.908;0.412;0.0;8;0.0;0.0;1.0
1500;0.263;2.322;1.908;0.414;0.0;8;0.0;0.0;1.0
1500;0.245;2.323;1.909;0.414;0.0;8;0.0;0.0;1.0
1500;0.235;2.326;1.911;0.415;0.0;8;0.0;0.0;1.0
1500;0.172;2.317;1.905;0.412;0.0;8;0.0;0.0;1.0
1500;0.233;2.322;1.909;0.413;0.0;8;0.0;0.0;1.0
1500;0.259;2.329;1.919;0.41;0.0;8;0.0;0.0;1.0
1500;0.243;2.3369999999999997;1.922;0.415;0.0;8;0.0;0.0;1.0
1500;0.245;2.34;1.927;0.412;0.001;8;0.0;0.0;1.0
1500;0.232;2.339;1.925;0.414;0.0;8;0.0;0.0;1.0
1500;0.241;2.357;1.929;0.428;0.0;8;0.0;0.0;1.0
1500;0.254;2.3529999999999998;1.936;0.417;0.0;8;0.0;0.0;1.0
1500;0.233;2.3369999999999997;1.918;0.419;0.0;8;0.0;0.0;1.0
1500;0.239;2.3409999999999997;1.922;0.419;0.0;8;0.0;0.0;1.0
1500;0.241;2.332;1.913;0.419;0.0;8;0.0;0.0;1.0
1500;0.246;2.351;1.931;0.42;0.0;8;0.0;0.0;1.0
1500;0.237;2.336;1.916;0.42;0.0;8;0.0;0.0;1.0
1500;0.238;2.339;1.921;0.418;0.0;8;0.0;0.0;1.0
1500;0.29;2.318;1.897;0.421;0.0;8;0.0;0.0;1.0
1500;0.238;2.2969999999999997;1.878;0.419;0.0;8;0.0;0.0;1.0
1500;0.24;2.292;1.875;0.417;0.0;8;0.0;0.0;1.0
1500;0.241;2.3;1.879;0.421;0.0;8;0.0;0.0;1.0
1500;0.243;2.332;1.912;0.42;0.0;8;0.0;0.0;1.0
1500;0.239;2.352;1.933;0.419;0.0;8;0.0;0.0;1.0
1500;0.238;2.331;1.91;0.421;0.0;8;0.0;0.0;1.0
1500;0.24;2.344;1.921;0.423;0.0;8;0.0;0.0;1.0
1500;0.231;2.343;1.923;0.42;0.0;8;0.0;0.0;1.0
