nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
100;0.0;1.9089999999999998;1.44;0.438;0.031;7;0.0;0.0;1.0
100;0.814;0.933;0.933;0.0;0.0;7;1.0;1.0;1.0
100;0.797;0.766;0.766;0.0;0.0;7;1.0;1.0;1.0
100;1.047;0.75;0.75;0.0;0.0;7;1.0;1.0;1.0
100;1.031;0.735;0.735;0.0;0.0;7;1.0;1.0;1.0
100;0.844;0.734;0.734;0.0;0.0;7;1.0;1.0;1.0
100;0.765;1.101;1.101;0.0;0.0;7;1.0;1.0;1.0
100;0.782;0.747;0.747;0.0;0.0;7;1.0;1.0;1.0
100;1.242;0.742;0.742;0.0;0.0;7;1.0;1.0;1.0
100;1.119;0.757;0.757;0.0;0.0;7;1.0;1.0;1.0
150;0.0;4.313;3.516;0.766;0.031;7;0.0;0.0;1.0
150;3.332;2.516;2.516;0.0;0.0;7;1.0;1.0;1.0
150;2.703;2.501;2.501;0.0;0.0;7;1.0;1.0;1.0
150;2.625;2.525;2.525;0.0;0.0;7;1.0;1.0;1.0
150;3.032;2.969;2.969;0.0;0.0;7;1.0;1.0;1.0
150;3.545;2.797;2.797;0.0;0.0;7;1.0;1.0;1.0
150;3.409;2.797;2.797;0.0;0.0;7;1.0;1.0;1.0
150;3.597;2.72;2.72;0.0;0.0;7;1.0;1.0;1.0
150;3.35;2.999;2.999;0.0;0.0;7;1.0;1.0;1.0
150;2.92;3.157;3.157;0.0;0.0;7;1.0;1.0;1.0
200;0.0;9.454;8.048;1.391;0.015;7;0.0;0.0;1.0
200;8.895;6.548;6.548;0.0;0.0;7;1.0;1.0;1.0
200;9.455;6.733;6.733;0.0;0.0;7;1.0;1.0;1.0
200;7.776;6.41;6.41;0.0;0.0;7;1.0;1.0;1.0
200;7.15;6.487;6.487;0.0;0.0;7;1.0;1.0;1.0
200;6.618;10.318;10.318;0.0;0.0;7;1.0;1.0;1.0
200;6.777;9.411;9.411;0.0;0.0;7;1.0;1.0;1.0
200;6.495;8.61;8.61;0.0;0.0;7;1.0;1.0;1.0
200;7.061;9.016;9.016;0.0;0.0;7;1.0;1.0;1.0
200;7.051;8.879;8.879;0.0;0.0;7;1.0;1.0;1.0
250;0.0;22.728;21.007;1.705;0.016;7;0.0;0.0;1.0
250;12.928;13.455;13.455;0.0;0.0;7;1.0;1.0;1.0
250;15.599;13.175;13.175;0.0;0.0;7;1.0;1.0;1.0
250;15.033;12.985;12.985;0.0;0.0;7;1.0;1.0;1.0
250;12.877;12.876;12.876;0.0;0.0;7;1.0;1.0;1.0
250;12.595;12.634;12.634;0.0;0.0;7;1.0;1.0;1.0
250;13.149;12.834;12.834;0.0;0.0;7;1.0;1.0;1.0
250;12.288;13.018;13.018;0.0;0.0;7;1.0;1.0;1.0
250;12.533;12.743;12.743;0.0;0.0;7;1.0;1.0;1.0
250;12.766;13.111;13.111;0.0;0.0;7;1.0;1.0;1.0
300;0.0;29.363999999999997;26.707;2.641;0.016;7;0.0;0.0;1.0
300;27.349;22.093;22.093;0.0;0.0;7;1.0;1.0;1.0
300;21.894;22.097;22.097;0.0;0.0;7;1.0;1.0;1.0
300;21.834;22.639;22.639;0.0;0.0;7;1.0;1.0;1.0
300;21.767;21.979;21.979;0.0;0.0;7;1.0;1.0;1.0
300;21.643;22.427;22.427;0.0;0.0;7;1.0;1.0;1.0
300;21.708;22.253;22.253;0.0;0.0;7;1.0;1.0;1.0
300;21.961;22.026;22.026;0.0;0.0;7;1.0;1.0;1.0
300;23.489;22.277;22.277;0.0;0.0;7;1.0;1.0;1.0
300;30.372;22.082;22.082;0.0;0.0;7;1.0;1.0;1.0
350;0.015;44.681000000000004;41.353;3.328;0.0;7;0.0;0.0;1.0
350;44.106;35.901;35.901;0.0;0.0;7;1.0;1.0;1.0
350;35.335;35.184;35.184;0.0;0.0;7;1.0;1.0;1.0
350;36.827;34.395;34.395;0.0;0.0;7;1.0;1.0;1.0
350;34.428;34.668;34.668;0.0;0.0;7;1.0;1.0;1.0
350;34.244;42.844;42.844;0.0;0.0;7;1.0;1.0;1.0
350;34.533;55.357;55.357;0.0;0.0;7;1.0;1.0;1.0
350;34.519;38.391;38.391;0.0;0.0;7;1.0;1.0;1.0
350;34.229;38.421;38.421;0.0;0.0;7;1.0;1.0;1.0
350;34.068;35.548;35.548;0.0;0.0;7;1.0;1.0;1.0
400;0.0;65.93900000000001;61.548;4.376;0.015;7;0.0;0.0;1.0
400;64.747;52.417;52.417;0.0;0.0;7;1.0;1.0;1.0
400;67.578;54.521;54.521;0.0;0.0;7;1.0;1.0;1.0
400;67.761;55.872;55.872;0.0;0.0;7;1.0;1.0;1.0
400;67.594;62.588;62.588;0.0;0.0;7;1.0;1.0;1.0
400;67.983;63.192;63.192;0.0;0.0;7;1.0;1.0;1.0
400;66.763;59.727;59.727;0.0;0.0;7;1.0;1.0;1.0
400;61.228;57.706;57.706;0.0;0.0;7;1.0;1.0;1.0
400;56.01;54.976;54.976;0.0;0.0;7;1.0;1.0;1.0
400;57.475;52.922;52.922;0.0;0.0;7;1.0;1.0;1.0
450;0.016;98.612;91.58;7.017;0.015;7;0.0;0.0;1.0
450;81.529;92.342;92.342;0.0;0.0;7;1.0;1.0;1.0
450;94.068;91.265;91.265;0.0;0.0;7;1.0;1.0;1.0
450;97.026;75.412;75.412;0.0;0.0;7;1.0;1.0;1.0
450;89.468;74.304;74.304;0.0;0.0;7;1.0;1.0;1.0
450;84.953;73.636;73.636;0.0;0.0;7;1.0;1.0;1.0
450;83.13;75.554;75.554;0.0;0.0;7;1.0;1.0;1.0
450;83.359;76.299;76.299;0.0;0.0;7;1.0;1.0;1.0
450;85.077;73.816;73.816;0.0;0.0;7;1.0;1.0;1.0
450;86.654;93.729;93.729;0.0;0.0;7;1.0;1.0;1.0
500;0.0;122.396;113.184;9.212;0.0;7;0.0;0.0;1.0
500;118.13;100.365;100.365;0.0;0.0;7;1.0;1.0;1.0
500;126.835;107.449;107.449;0.0;0.0;7;1.0;1.0;1.0
500;128.753;103.835;103.835;0.0;0.0;7;1.0;1.0;1.0
500;113.727;101.156;101.156;0.0;0.0;7;1.0;1.0;1.0
500;115.009;102.559;102.559;0.0;0.0;7;1.0;1.0;1.0
500;113.747;101.402;101.402;0.0;0.0;7;1.0;1.0;1.0
500;122.505;106.869;106.869;0.0;0.0;7;1.0;1.0;1.0
500;132.544;107.405;107.405;0.0;0.0;7;1.0;1.0;1.0
500;120.928;108.662;108.662;0.0;0.0;7;1.0;1.0;1.0
50;0.0;0.23200000000000004;0.169;0.047;0.016;7;0.0;0.0;1.0
50;0.141;0.094;0.094;0.0;0.0;7;1.0;1.0;1.0
50;0.125;0.093;0.093;0.0;0.0;7;1.0;1.0;1.0
50;0.14;0.094;0.094;0.0;0.0;7;1.0;1.0;1.0
50;0.141;0.094;0.094;0.0;0.0;7;1.0;1.0;1.0
50;0.125;0.109;0.109;0.0;0.0;7;1.0;1.0;1.0
50;0.156;0.094;0.094;0.0;0.0;7;1.0;1.0;1.0
50;0.125;0.109;0.109;0.0;0.0;7;1.0;1.0;1.0
50;0.125;0.094;0.094;0.0;0.0;7;1.0;1.0;1.0
50;0.125;0.109;0.109;0.0;0.0;7;1.0;1.0;1.0
