nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
500;0.281;0.257;0.257;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.234;0.247;0.247;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.223;0.234;0.234;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.203;0.255;0.255;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.219;0.239;0.239;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.235;0.25;0.25;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.234;0.243;0.243;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.219;0.281;0.281;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.203;0.266;0.266;0;0;14;1;1;1;0;500;-1;0;500;0
500;0.266;0.219;0.219;0;0;14;1;1;1;0;500;-1;0;500;0
600;0.328;0.339;0.339;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.344;0.344;0.344;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.328;0.359;0.359;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.328;0.375;0.375;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.265;0.344;0.344;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.356;0.359;0.359;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.312;0.391;0.391;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.344;0.383;0.383;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.364;0.391;0.391;0;0;14;1;1;1;0;600;-1;0;600;0
600;0.343;0.281;0.281;0;0;14;1;1;1;0;600;-1;0;600;0
700;0.453;0.359;0.359;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.47;0.37;0.37;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.478;0.328;0.328;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.469;0.328;0.328;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.472;0.344;0.344;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.468;0.328;0.328;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.488;0.344;0.344;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.469;0.344;0.344;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.469;0.344;0.344;0;0;14;1;1;1;0;700;-1;0;700;0
700;0.469;0.343;0.343;0;0;14;1;1;1;0;700;-1;0;700;0
800;0.609;0.454;0.454;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.641;0.453;0.453;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.625;0.505;0.505;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.687;0.469;0.469;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.594;0.465;0.465;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.636;0.469;0.469;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.616;0.468;0.468;0;0;14;1;1;1;0;800;-1;0;800;0
800;0.625;0.468;0.468;0;0;14;1;1;1;0;800;-1;0;800;0
