nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;4.564;0;0;0;0
100;6.392;0.083;0.036;0.015;0.032
150;4.063;0.077;0.062;0.015;0
200;13.322;0.093;0.078;0.015;0
250;15.329;0.063;0.063;0;0
300;16.65;0.125;0.125;0;0
350;19.221;0.173;0.157;0.016;0
400;21.893;0.234;0.219;0.015;0
450;25.139;0.328;0.312;0.016;0
500;32.591;0.501;0.407;0.094;0
550;36.511;0.53;0.421;0.109;0
600;15.971;0.625;0.5;0.125;0
650;35.623;0.718;0.578;0.14;0
700;34.24;0.844;0.672;0.172;0
750;39.335;0.97;0.782;0.188;0
800;41.569;1.164;0.945;0.203;0.016
850;43.198;1.296;1.062;0.234;0
900;46.523;1.407;1.126;0.265;0.016
950;48.88;1.563;1.266;0.297;0
1000;52.037;2.402;1.714;0.656;0.032
1100;60.432;2.319;1.741;0.578;0
1200;64.289;4.001;3.314;0.656;0.031
1300;68.461;3.747;2.903;0.828;0.016
1400;73.113;3.828;2.859;0.969;0
1500;69.663;5.36;4.266;1.094;0
1600;75.227;5.978;4.735;1.243;0
1700;77.959;5.75;4.422;1.328;0
1800;84.994;6.114;4.598;1.516;0
1900;96.555;6.797;5.469;1.328;0
2000;113.436;8.735;7.313;1.422;0
2100;123.281;9.721;8.127;1.594;0
2200;121.359;10.081;8.315;1.766;0
2300;124.335;9.908;7.939;1.969;0
2400;120.665;12.316;10.191;2.125;0
2500;127.126;12.016;9.688;2.313;0.015
2600;130.92;13.582;10.862;2.72;0
2700;154.887;15.689;12.079;3.61;0
2800;167.629;16.096;12.518;3.578;0
2900;179.624;16.906;13.328;3.578;0
3000;168.801;18.58;15.298;3.282;0
