nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;3.187;1.976;1.727;0.249;0.0;12;1.0;1.0;1.0;11.0;11.0;-1;2.0;1000.0;2249.0
1000;4.751;1.51;1.4;0.11;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2468.0
1000;11.532;1.334;1.224;0.11;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2423.0
1000;8.271;1.361;1.251;0.11;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2358.0
1000;5.75;1.428;1.319;0.109;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2384.0
1000;9.344;1.334;1.225;0.109;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2341.0
1000;4.391;1.443;1.333;0.11;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2335.0
1000;7.281;1.267;1.158;0.109;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2388.0
1000;3.033;1.064;0.939;0.125;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2402.0
1000;3.471;1.194;1.101;0.093;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1000.0;2379.0
1200;10.39;3.772;3.631;0.141;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2861.0
1200;10.36;1.7189999999999999;1.563;0.156;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2924.0
1200;12.875;1.719;1.562;0.157;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2849.0
1200;8.925;1.688;1.532;0.156;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2886.0
1200;4.312;1.6869999999999998;1.547;0.14;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2865.0
1200;12.363;1.584;1.443;0.141;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2816.0
1200;8.017;2.359;2.203;0.156;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2990.0
1200;4.344;2.501;2.36;0.141;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2808.0
1200;5.626;3.3970000000000002;3.257;0.14;0.0;12;1.0;1.0;1.0;11.0;11.0;-1;2.0;1200.0;2809.0
1200;10.625;2.354;2.214;0.14;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1200.0;2865.0
1400;13.533;2.008;1.82;0.188;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3313.0
1400;8.584;1.984;1.781;0.203;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3344.0
1400;11.059;2.015;1.813;0.202;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3360.0
1400;9.688;2.007;1.805;0.202;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3359.0
1400;11.58;2.11;1.907;0.203;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3337.0
1400;15.018;2.165;1.946;0.219;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3385.0
1400;14.111;2.181;1.978;0.203;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3363.0
1400;14.481;3.304;3.101;0.203;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3411.0
1400;15.345;3.0940000000000003;2.906;0.188;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3299.0
1400;12.176;3.0;2.797;0.203;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1400.0;3268.0
1600;12.986;3.024;2.758;0.266;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3873.0
1600;8.036;2.71;2.445;0.265;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3783.0
1600;17.971;2.829;2.563;0.266;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3851.0
1600;20.719;2.9059999999999997;2.61;0.296;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3868.0
1600;10.824;2.8120000000000003;2.515;0.297;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3767.0
1600;15.113;2.8760000000000003;2.579;0.297;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3891.0
1600;12.332;3.9699999999999998;3.658;0.312;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3785.0
1600;15.098;4.094;3.766;0.328;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3763.0
1600;16.86;3.7030000000000003;3.39;0.313;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3894.0
1600;5.176;2.7809999999999997;2.453;0.328;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1600.0;3890.0
1800;21.724;3.626;3.235;0.391;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4257.0
1800;4.595;3.657;3.251;0.406;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4179.0
1800;28.375;3.594;3.234;0.36;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4220.0
1800;10.931;4.359;4.0;0.359;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4245.0
1800;12.121;5.047;4.656;0.391;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4250.0
1800;23.909;4.593999999999999;4.172;0.422;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4294.0
1800;17.266;3.5;3.047;0.453;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4333.0
1800;16.064;3.5789999999999997;3.142;0.437;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4225.0
1800;12.645;3.6559999999999997;3.219;0.437;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4292.0
1800;16.596;3.563;3.141;0.422;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;1800.0;4228.0
2000;8.719;5.896;5.38;0.516;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4741.0
2000;21.769;6.486;5.97;0.516;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4655.0
2000;7.453;4.328;3.797;0.531;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4761.0
2000;22.024;4.5;3.969;0.531;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4780.0
2000;19.333;4.579;4.016;0.563;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4811.0
2000;15.735;5.25;4.719;0.531;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4811.0
2000;14.77;6.641;6.063;0.578;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4887.0
2000;24.16;5.159000000000001;4.597;0.562;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4826.0
2000;19.081;4.454;3.923;0.531;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4775.0
2000;4.878;4.548;4.001;0.547;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2000.0;4831.0
2200;19.114;5.643;5.002;0.641;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5267.0
2200;14.079;7.578;6.953;0.625;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5268.0
2200;24.627;6.047;5.422;0.625;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5222.0
2200;18.634;5.48;4.875;0.605;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5266.0
2200;12.282;5.484;4.828;0.656;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5257.0
2200;13.496;7.111000000000001;6.408;0.703;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5344.0
2200;19.928;7.095;6.454;0.641;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5200.0
2200;28.159;5.501;4.844;0.657;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5274.0
2200;14.888;5.391;4.767;0.624;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5133.0
2200;16.564;6.0;5.344;0.656;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2200.0;5285.0
2400;27.816;9.33;8.549;0.781;0.0;12;1.0;1.0;1.0;12.0;12.0;-1;2.0;2400.0;5805.0
