nodes;pipe 1;pipe 2;reduction;kernel;hs_st
50;1.719;0.016;0;0;0.016
100;2.093;0.201;0.169;0.016;0.016
150;1.847;0.079;0.047;0;0.032
200;4.331;0.14;0.094;0.015;0.031
250;4.063;0.126;0.079;0.016;0.031
300;5.609;0.093;0.078;0.015;0
350;7.095;0.14;0.125;0.015;0
400;6.985;0.191;0.159;0.016;0.016
450;9.288;0.218;0.203;0.015;0
500;10.363;0.489;0.364;0.11;0.015
550;9.462;0.58;0.44;0.124;0.016
600;6.142;0.687;0.531;0.156;0
650;11.393;1.032;0.813;0.188;0.031
700;12.425;0.953;0.719;0.234;0
750;13.179;1.109;0.843;0.25;0.016
800;14.548;1.22;0.954;0.266;0
850;14.911;1.421;1.093;0.328;0
900;17.564;1.609;1.25;0.344;0.015
950;17.174;1.844;1.422;0.406;0.016
1000;20.691;3.131;2.647;0.469;0.015
1100;20.082;2.585;2.023;0.547;0.015
1200;22.04;2.74;2.107;0.633;0
1300;23.817;4.801;4.008;0.777;0.016
1400;25.62;3.749;2.859;0.89;0
1500;26.928;4.328;3.313;1.015;0
1600;29.504;5.986;4.812;1.174;0
1700;29.819;6.963;5.557;1.39;0.016
1800;31.099;6.266;4.719;1.532;0.015
1900;35.6;7.018;5.299;1.719;0
2000;34.825;8.361;6.517;1.828;0.016
2100;36.807;10.328;8.328;2;0
2200;40.647;9.414;7.129;2.254;0.031
2300;38.037;10.63;8.068;2.562;0
2400;34.75;13.674;10.861;2.798;0.015
2500;38.44;12.351;9.388;2.948;0.015
2600;39.483;15.338;12.197;3.141;0
2700;40.155;14.524;10.992;3.532;0
2800;48.668;16.906;13.077;3.829;0
2900;52.815;17.269;13.081;4.188;0
3000;52.762;20.068;15.662;4.406;0
