nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges;pipe_1_timeout;pipe_2_timeout
198;-1;0.329;0.266;0.063;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.075757575757576;198.0;808.0;-1;0.0
199;-1;0.28;0.234;0.046;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.482412060301508;199.0;1091.0;-1;0.0
200;-1;0.188;0.156;0.032;0.0;1;-1;0.0;-1;0.0;1.0;2.0;3.985;200.0;798.0;-1;0.0
200;-1;0.14100000000000001;0.11;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.31;200.0;862.0;-1;0.0
200;-1;0.14;0.109;0.015;0.016;1;-1;0.0;-1;0.0;1.0;2.0;4.06;200.0;813.0;-1;0.0
200;-1;0.15699999999999997;0.141;0.016;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.315;200.0;864.0;-1;0.0
200;-1;0.156;0.109;0.047;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.11;200.0;1023.0;-1;0.0
200;-1;0.125;0.094;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.2;200.0;841.0;-1;0.0
200;-1;0.093;0.078;0.015;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.095;200.0;1020.0;-1;0.0
200;-1;0.172;0.125;0.047;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.46;200.0;1093.0;-1;0.0
200;-1;0.204;0.172;0.032;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.665;200.0;933.0;-1;0.0
200;-1;0.156;0.125;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.49;200.0;1098.0;-1;0.0
200;-1;0.158;0.127;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.13;200.0;1026.0;-1;0.0
200;-1;0.125;0.094;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.69;200.0;938.0;-1;0.0
200;-1;0.14100000000000001;0.109;0.032;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.795;200.0;1160.0;-1;0.0
200;-1;0.109;0.094;0.015;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.805;200.0;961.0;-1;0.0
200;-1;0.14;0.109;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.655;200.0;931.0;-1;0.0
200;-1;0.125;0.109;0.016;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.055;200.0;1011.0;-1;0.0
200;-1;0.14100000000000001;0.11;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.05;200.0;1011.0;-1;0.0
200;-1;0.179;0.147;0.032;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.87;200.0;1174.0;-1;0.0
200;-1;0.172;0.141;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.41;200.0;1083.0;-1;0.0
200;-1;0.124;0.109;0.015;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.76;200.0;952.0;-1;0.0
200;-1;0.151;0.125;0.026;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.385;200.0;1078.0;-1;0.0
200;-1;0.14;0.125;0.015;0.0;1;-1;0.0;-1;0.0;1.0;2.0;4.805;200.0;961.0;-1;0.0
200;-1;0.172;0.141;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.855;200.0;1172.0;-1;0.0
200;-1;0.14100000000000001;0.109;0.032;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.81;200.0;1163.0;-1;0.0
200;-1;0.156;0.125;0.031;0.0;1;-1;0.0;-1;0.0;1.0;2.0;5.8;200.0;1162.0;-1;0.0
450;-1;20.889;14.503;6.386;0.0;1;-1;0.0;-1;0.0;1.0;2.0;39.617777777777775;450.0;17831.0;-1;0.0
1150;-1;-1.0;280.777;20.2;0.0;1;-1;0.0;-1;-1.0;-1.0;2.0;70.49130434782609;1150.0;81068.0;-1;1.0
