file;n;c_par;density;k;Pipe 1 time;Pipe 1 result;Reduction time;Reduced nodes;Reduced edges;Kernel time;Kernel nodes;Kernel edges;HS-ST time;Pipe 2 time;Pipe 2 result;Time to solve;Pipe 1 == Pipe 2;Pipe 1 timeout;Pipe 2 timeout;
vc-exact_001.gr;6160;2;7;0;-1.0;-1;67.826;4950;29927;0.0;-1;-1;0.0;67.826;0;300.008;-1;-1;0;
vc-exact_002.gr;51795;2;1;0;-1.0;-1;81.173;0;0;0.0;0;0;0.0;81.173;1;81.173;-1;-1;0;
vc-exact_003.gr;60541;2;1;0;-1.0;-1;120.103;0;0;0.016;0;0;0.0;120.119;1;120.119;-1;-1;0;
vc-exact_004.gr;8114;2;3;0;-1.0;-1;39.294;376;1831;0.0;-1;-1;0.0;39.294;0;300.015;-1;-1;0;
vc-exact_005.gr;200;2;4;0;-1.0;-1;0.047;200;798;0.0;-1;-1;0.0;0.047;0;300.01;-1;-1;0;
vc-exact_006.gr;200;2;4;0;-1.0;-1;0.047;194;709;0.0;-1;-1;0.0;0.047;0;300.007;-1;-1;0;
vc-exact_007.gr;8794;2;1;0;-1.0;-1;5.517;5311;6057;0.0;-1;-1;0.0;5.517;0;300.005;-1;-1;0;
vc-exact_008.gr;7537;2;10;0;-1.0;-1;235.838;7523;72826;0.0;-1;-1;0.0;235.838;0;551.908;-1;-1;0;
vc-exact_009.gr;38452;2;5;0;-1.0;-1;304.973;-1;-1;0.0;-1;-1;0.0;-1.0;0;304.973;-1;-1;1;
vc-exact_010.gr;199;2;4;0;-1.0;-1;0.032;199;758;0.0;-1;-1;0.0;0.032;0;300.004;-1;-1;0;
vc-exact_001.gr;6160;2;7;1;-1.0;-1;67.826;4950;29927;0.0;-1;-1;0.0;67.826;0;300.008;-1;-1;0;
vc-exact_002.gr;51795;2;1;1;-1.0;-1;81.173;0;0;0.0;-1;-1;0.0;81.173;1;81.173;-1;-1;0;
vc-exact_003.gr;60541;2;1;1;-1.0;-1;120.103;0;0;0.0;-1;-1;0.0;120.103;1;120.119;-1;-1;0;
vc-exact_004.gr;8114;2;3;1;-1.0;-1;39.294;376;1831;0.0;-1;-1;0.0;39.294;0;300.015;-1;-1;0;
vc-exact_005.gr;200;2;4;1;-1.0;-1;0.047;200;798;0.0;-1;-1;0.0;0.047;0;300.01;-1;-1;0;
vc-exact_006.gr;200;2;4;1;-1.0;-1;0.047;194;709;0.0;-1;-1;0.0;0.047;0;300.007;-1;-1;0;
vc-exact_007.gr;8794;2;1;1;-1.0;-1;5.517;5311;6057;0.0;-1;-1;0.0;5.517;0;300.005;-1;-1;0;
vc-exact_008.gr;7537;2;10;1;-1.0;-1;235.838;7523;72826;0.0;-1;-1;0.0;235.838;0;551.908;-1;-1;0;
vc-exact_009.gr;38452;2;5;1;-1.0;-1;304.973;-1;-1;0.0;-1;-1;0.0;-1.0;0;304.973;-1;-1;1;
vc-exact_010.gr;199;2;4;1;-1.0;-1;0.032;199;758;0.0;-1;-1;0.0;0.032;0;300.004;-1;-1;0;
vc-exact_001.gr;6160;2;7;2;-1.0;-1;67.826;4950;29927;0.0;-1;-1;0.0;67.826;0;300.008;-1;-1;0;
