nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;0.06;2.385;1.81;0.575;0.0;5;0.0;0.0;1.0;56.0;61.0;-1;2.888;1000.0;2887.0
1000;0.05;1.685;1.34;0.345;0.0;5;0.0;0.0;1.0;51.0;59.0;-1;2.81;1000.0;2808.0
1000;0.04;1.4749999999999999;1.16;0.315;0.0;5;0.0;0.0;1.0;34.0;34.0;-1;2.831;1000.0;2831.0
1000;0.041;1.415;1.135;0.28;0.0;5;0.0;0.0;1.0;31.0;30.0;-1;2.718;1000.0;2716.0
1000;0.044;1.4300000000000002;1.12;0.31;0.0;5;0.0;0.0;1.0;17.0;18.0;-1;2.741;1000.0;2741.0
1000;0.055;1.46;1.14;0.32;0.0;5;0.0;0.0;1.0;36.0;40.0;-1;2.784;1000.0;2782.0
1000;0.06;1.45;1.15;0.3;0.0;5;0.0;0.0;1.0;34.0;35.0;-1;2.838;1000.0;2837.0
1000;0.04;1.533;1.222;0.311;0.0;5;0.0;0.0;1.0;37.0;37.0;-1;2.798;1000.0;2798.0
1000;0.034;1.452;1.143;0.309;0.0;5;0.0;0.0;1.0;23.0;23.0;-1;2.886;1000.0;2884.0
1000;0.03;1.4400000000000002;1.12;0.32;0.0;5;0.0;0.0;1.0;48.0;56.0;-1;2.774;1000.0;2773.0
600;0.03;0.54;0.415;0.125;0.0;5;0.0;0.0;1.0;25.0;25.0;-1;2.8366666666666664;600.0;1701.0
600;0.02;0.52;0.41;0.11;0.0;5;0.0;0.0;1.0;14.0;12.0;-1;2.86;600.0;1715.0
600;0.025;0.526;0.416;0.11;0.0;5;0.0;0.0;1.0;33.0;41.0;-1;2.888333333333333;600.0;1733.0
600;0.03;0.515;0.41;0.105;0.0;5;0.0;0.0;1.0;35.0;37.0;-1;2.845;600.0;1705.0
600;0.02;0.5;0.41;0.09;0.0;5;0.0;0.0;1.0;24.0;26.0;-1;2.7866666666666666;600.0;1671.0
600;0.025;1.002;0.882;0.12;0.0;5;0.0;0.0;1.0;20.0;18.0;-1;2.783333333333333;600.0;1669.0
600;0.015;1.4160000000000001;1.306;0.11;0.0;5;0.0;0.0;1.0;32.0;31.0;-1;2.7933333333333334;600.0;1677.0
600;0.025;1.78;1.645;0.135;0.0;5;0.0;0.0;1.0;16.0;15.0;-1;2.8516666666666666;600.0;1710.0
600;0.03;0.889;0.77;0.119;0.0;5;0.0;0.0;1.0;14.0;16.0;-1;2.8383333333333334;600.0;1703.0
600;0.025;0.905;0.8;0.105;0.0;5;0.0;0.0;1.0;30.0;33.0;-1;2.7816666666666667;600.0;1668.0
800;0.035;1.095;0.89;0.195;0.01;5;0.0;0.0;1.0;48.0;57.0;-1;2.81;800.0;2247.0
800;0.035;1.1500000000000001;0.93;0.22;0.0;5;0.0;0.0;1.0;18.0;17.0;-1;2.79375;800.0;2234.0
800;0.025;1.075;0.855;0.22;0.0;5;0.0;0.0;1.0;39.0;39.0;-1;2.83875;800.0;2271.0
800;0.035;0.9470000000000001;0.752;0.195;0.0;5;0.0;0.0;1.0;15.0;14.0;-1;2.82;800.0;2255.0
800;0.032;0.935;0.75;0.185;0.0;5;0.0;0.0;1.0;32.0;34.0;-1;2.77625;800.0;2220.0
800;0.035;0.9790000000000001;0.779;0.2;0.0;5;0.0;0.0;1.0;43.0;52.0;-1;2.8575;800.0;2285.0
800;0.03;0.9950000000000001;0.8;0.195;0.0;5;0.0;0.0;1.0;16.0;14.0;-1;2.81375;800.0;2250.0
800;0.04;0.96;0.775;0.185;0.0;5;0.0;0.0;1.0;34.0;42.0;-1;2.77875;800.0;2222.0
800;0.045;0.96;0.775;0.185;0.0;5;0.0;0.0;1.0;35.0;46.0;-1;2.75;800.0;2199.0
800;0.025;0.97;0.79;0.18;0.0;5;0.0;0.0;1.0;24.0;23.0;-1;2.80375;800.0;2243.0
