nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.0;4.315;3.47;0.845;0.0;2;0.0;0.0;1.0
1500;0.0;3.9690000000000003;3.173;0.796;0.0;2;0.0;0.0;1.0
1500;0.0;3.845;3.063;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.891;3.094;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;3.844;3.062;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.859;3.078;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.828;3.062;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;3.845;3.063;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.8440000000000003;3.063;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.8120000000000003;3.047;0.765;0.0;2;0.0;0.0;1.0
1500;0.0;3.86;3.078;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.835;3.054;0.781;0.0;2;0.0;0.0;1.0
1500;0.015;3.932;3.135;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;3.8600000000000003;3.063;0.797;0.0;2;0.0;0.0;1.0
1500;0.016;3.8440000000000003;3.063;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;4.064;3.283;0.781;0.0;2;0.0;0.0;1.0
1500;0.016;4.379;3.613;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;4.002;3.237;0.765;0.0;2;0.0;0.0;1.0
1500;0.0;3.923;3.141;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.9850000000000003;3.22;0.765;0.0;2;0.0;0.0;1.0
1500;0.0;3.844;3.062;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.8440000000000003;3.079;0.765;0.0;2;0.0;0.0;1.0
1500;0.0;3.9370000000000003;3.156;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.862;3.08;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;3.914;3.149;0.765;0.0;2;0.0;0.0;1.0
1500;0.016;3.902;3.136;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;4.006;3.194;0.812;0.0;2;0.0;0.0;1.0
1500;0.015;4.064;3.251;0.813;0.0;2;0.0;0.0;1.0
1500;0.0;4.016;3.188;0.828;0.0;2;0.0;0.0;1.0
1500;0.016;3.9690000000000003;3.172;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;3.9859999999999998;3.203;0.783;0.0;2;0.0;0.0;1.0
1500;0.0;3.9530000000000003;3.172;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.955;3.173;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;4.079;3.283;0.796;0.0;2;0.0;0.0;1.0
1500;0.0;3.923;3.141;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;4.211;3.422;0.789;0.0;2;0.0;0.0;1.0
1500;0.015;4.323;3.301;1.022;0.0;2;0.0;0.0;1.0
1500;0.0;3.891;3.124;0.767;0.0;2;0.0;0.0;1.0
1500;0.016;3.932;3.166;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;4.149;3.368;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.9930000000000003;3.212;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.907;3.141;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;4.0009999999999994;3.235;0.766;0.0;2;0.0;0.0;1.0
1500;0.016;4.063000000000001;3.297;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;4.032;3.251;0.781;0.0;2;0.0;0.0;1.0
1500;0.015;4.032;3.25;0.782;0.0;2;0.0;0.0;1.0
1500;0.0;4.203;3.422;0.781;0.0;2;0.0;0.0;1.0
1500;0.016;4.064;3.251;0.813;0.0;2;0.0;0.0;1.0
1500;0.0;3.8920000000000003;3.111;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.846;3.065;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.977;3.211;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;3.953;3.187;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;3.875;3.078;0.797;0.0;2;0.0;0.0;1.0
