nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
100;0.031;0.156;0.125;0.031;0.0;7;0.0;0.0;1.0
100;0.031;0.079;0.063;0.016;0.0;7;0.0;0.0;1.0
100;0.031;0.047;0.047;0.0;0.0;7;0.0;0.0;1.0
100;0.016;0.062;0.047;0.015;0.0;7;0.0;0.0;1.0
100;0.031;0.047;0.031;0.016;0.0;7;0.0;0.0;1.0
100;0.015;0.063;0.063;0.0;0.0;7;0.0;0.0;1.0
100;0.032;0.031;0.031;0.0;0.0;7;0.0;0.0;1.0
100;0.015;0.015;0.015;0.0;0.0;7;0.0;0.0;1.0
100;0.016;0.031;0.031;0.0;0.0;7;0.0;0.0;1.0
100;0.015;0.032;0.032;0.0;0.0;7;0.0;0.0;1.0
150;0.015;0.093;0.078;0.015;0.0;7;0.0;0.0;1.0
150;0.032;0.079;0.063;0.016;0.0;7;0.0;0.0;1.0
150;0.031;0.078;0.047;0.015;0.016;7;0.0;0.0;1.0
150;0.031;0.063;0.047;0.016;0.0;7;0.0;0.0;1.0
150;0.031;0.062;0.047;0.015;0.0;7;0.0;0.0;1.0
150;0.031;0.094;0.078;0.016;0.0;7;0.0;0.0;1.0
150;0.031;0.109;0.093;0.016;0.0;7;0.0;0.0;1.0
150;0.032;0.064;0.049;0.015;0.0;7;0.0;0.0;1.0
150;0.031;0.063;0.047;0.016;0.0;7;0.0;0.0;1.0
150;0.016;0.047;0.047;0.0;0.0;7;0.0;0.0;1.0
200;0.016;0.11;0.094;0.016;0.0;7;0.0;0.0;1.0
200;0.031;0.12;0.093;0.027;0.0;7;0.0;0.0;1.0
200;0.031;0.095;0.079;0.016;0.0;7;0.0;0.0;1.0
200;0.032;0.187;0.156;0.031;0.0;7;0.0;0.0;1.0
200;0.031;0.094;0.078;0.016;0.0;7;0.0;0.0;1.0
200;0.031;0.094;0.079;0.015;0.0;7;0.0;0.0;1.0
200;0.031;0.125;0.093;0.032;0.0;7;0.0;0.0;1.0
200;0.032;0.109;0.094;0.015;0.0;7;0.0;0.0;1.0
200;0.031;0.094;0.078;0.016;0.0;7;0.0;0.0;1.0
200;0.031;0.109;0.094;0.015;0.0;7;0.0;0.0;1.0
250;0.016;0.172;0.156;0.016;0.0;7;0.0;0.0;1.0
250;0.046;0.266;0.25;0.016;0.0;7;0.0;0.0;1.0
250;0.032;0.175;0.144;0.031;0.0;7;0.0;0.0;1.0
250;0.032;0.188;0.157;0.031;0.0;7;0.0;0.0;1.0
250;0.031;0.15600000000000003;0.14;0.016;0.0;7;0.0;0.0;1.0
250;0.047;0.15599999999999997;0.141;0.015;0.0;7;0.0;0.0;1.0
250;0.047;0.15600000000000003;0.14;0.016;0.0;7;0.0;0.0;1.0
250;0.046;0.125;0.109;0.016;0.0;7;0.0;0.0;1.0
250;0.032;0.14100000000000001;0.125;0.016;0.0;7;0.0;0.0;1.0
250;0.019;0.15599999999999997;0.141;0.015;0.0;7;0.0;0.0;1.0
50;0.0;0.0;0.0;0.0;0.0;7;0.0;0.0;1.0
50;0.015;0.0;0.0;0.0;0.0;7;0.0;0.0;1.0
50;0.0;0.016;0.016;0.0;0.0;7;0.0;0.0;1.0
50;0.016;0.0;0.0;0.0;0.0;7;0.0;0.0;1.0
50;0.016;0.0;0.0;0.0;0.0;7;0.0;0.0;1.0
50;0.0;0.015;0.015;0.0;0.0;7;0.0;0.0;1.0
50;0.015;0.016;0.0;0.016;0.0;7;0.0;0.0;1.0
50;0.016;0.016;0.016;0.0;0.0;7;0.0;0.0;1.0
50;0.016;0.0;0.0;0.0;0.0;7;0.0;0.0;1.0
50;0.015;0.016;0.016;0.0;0.0;7;0.0;0.0;1.0
