nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
500;250.192;118.783;113.61;4.888;0.285;10;0.0;0.0;1.0
500;124.773;118.88499999999999;113.61;5.186;0.089;9;0.0;0.0;1.0
500;61.899;118.56;113.61;4.925;0.025;8;0.0;0.0;1.0
500;32.892;118.82499999999999;113.61;5.192;0.023;7;0.0;0.0;1.0
500;15.815;118.821;113.61;5.198;0.013;6;0.0;0.0;1.0
500;7.387;118.62400000000001;113.61;5.013;0.001;5;0.0;0.0;1.0
500;3.618;118.426;113.61;4.815;0.001;4;0.0;0.0;1.0
500;1.65;118.69800000000001;113.61;5.087;0.001;3;0.0;0.0;1.0
500;0.973;118.82;113.61;5.21;0.0;2;0.0;0.0;1.0
500;0.41;118.998;113.61;5.388;0.0;1;0.0;0.0;1.0
