nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
200;0.0;101.25500000000001;58.151;42.947;0.157;8;0.0;0.0;1.0;196.0;75.0;-1;9.0;200.0;33353.0
200;0.016;99.35400000000001;55.174;44.024;0.156;8;0.0;0.0;1.0;250.0;75.0;-1;10.0;200.0;33880.0
200;0.0;94.637;52.945;41.598;0.094;8;0.0;0.0;1.0;186.0;76.0;-1;10.0;200.0;33440.0
200;0.0;95.519;51.997;43.475;0.047;8;0.0;0.0;1.0;210.0;71.0;-1;10.0;200.0;33713.0
200;0.016;99.448;59.665;39.736;0.047;8;0.0;0.0;1.0;229.0;71.0;-1;10.0;200.0;33474.0
200;0.0;97.208;60.032;37.098;0.078;8;0.0;0.0;1.0;207.0;87.0;-1;9.0;200.0;33137.0
200;0.015;95.089;59.772;35.286;0.031;8;0.0;0.0;1.0;184.0;60.0;-1;9.0;200.0;33285.0
200;0.0;99.007;61.812;37.148;0.047;8;0.0;0.0;1.0;240.0;84.0;-1;9.0;200.0;33188.0
200;0.016;95.684;60.616;35.021;0.047;8;0.0;0.0;1.0;125.0;65.0;-1;10.0;200.0;33576.0
200;0.0;96.769;63.045;33.693;0.031;8;0.0;0.0;1.0;140.0;60.0;-1;10.0;200.0;33805.0
200;0.0;186.156;118.183;67.943;0.03;8;0.0;0.0;1.0;174.0;74.0;-1;11.0;200.0;46881.0
200;0.016;176.126;114.055;62.024;0.047;8;0.0;0.0;1.0;193.0;79.0;-1;11.0;200.0;45827.0
200;0.0;167.001;101.975;64.995;0.031;8;0.0;0.0;1.0;201.0;67.0;-1;11.0;200.0;46234.0
200;0.0;164.728;99.236;65.43;0.062;8;0.0;0.0;1.0;226.0;95.0;-1;11.0;200.0;46747.0
200;0.0;163.75300000000001;97.604;66.087;0.062;8;0.0;0.0;1.0;171.0;65.0;-1;11.0;200.0;46893.0
200;0.015;179.076;106.432;72.581;0.063;8;0.0;0.0;1.0;207.0;74.0;-1;11.0;200.0;46721.0
200;0.0;187.95700000000002;112.379;75.546;0.032;8;0.0;0.0;1.0;272.0;71.0;-1;11.0;200.0;46733.0
200;0.0;187.163;112.306;74.795;0.062;8;0.0;0.0;1.0;224.0;76.0;-1;11.0;200.0;46600.0
200;0.0;185.755;111.816;73.877;0.062;8;0.0;0.0;1.0;180.0;59.0;-1;11.0;200.0;46391.0
200;0.0;186.55800000000002;112.2;74.311;0.047;8;0.0;0.0;1.0;227.0;80.0;-1;11.0;200.0;46572.0
200;0.016;323.553;195.088;128.419;0.046;8;0.0;0.0;1.0;211.0;60.0;-1;13.0;200.0;61494.0
200;0.0;322.91100000000006;192.794;130.07;0.047;8;0.0;0.0;1.0;230.0;73.0;-1;13.0;200.0;61541.0
200;0.0;323.338;196.104;127.171;0.063;8;0.0;0.0;1.0;229.0;74.0;-1;13.0;200.0;61410.0
200;0.0;306.601;187.254;119.285;0.062;8;0.0;0.0;1.0;181.0;77.0;-1;13.0;200.0;60302.0
200;0.0;318.72400000000005;190.226;128.451;0.047;8;0.0;0.0;1.0;205.0;69.0;-1;13.0;200.0;61416.0
200;0.015;320.882;193.595;127.24;0.047;8;0.0;0.0;1.0;202.0;83.0;-1;13.0;200.0;61153.0
200;0.0;322.74600000000004;197.109;125.59;0.047;8;0.0;0.0;1.0;273.0;77.0;-1;13.0;200.0;61396.0
200;0.0;317.423;195.544;121.848;0.031;8;0.0;0.0;1.0;164.0;79.0;-1;13.0;200.0;60807.0
200;0.0;310.694;187.303;123.344;0.047;8;0.0;0.0;1.0;193.0;70.0;-1;13.0;200.0;60490.0
200;0.0;316.717;186.478;130.176;0.063;8;0.0;0.0;1.0;176.0;77.0;-1;13.0;200.0;61622.0
200;0.0;486.072;273.233;212.776;0.063;8;0.0;0.0;1.0;211.0;64.0;-1;15.0;200.0;78950.0
200;0.0;481.097;295.28;185.786;0.031;8;0.0;0.0;1.0;184.0;75.0;-1;15.0;200.0;77797.0
200;0.0;479.15400000000005;301.752;177.371;0.031;8;0.0;0.0;1.0;268.0;81.0;-1;15.0;200.0;77017.0
200;0.0;450.518;270.907;179.58;0.031;8;0.0;0.0;1.0;168.0;60.0;-1;15.0;200.0;77387.0
200;0.0;463.58000000000004;264.484;199.049;0.047;8;0.0;0.0;1.0;226.0;55.0;-1;15.0;200.0;77799.0
200;0.016;515.956;306.563;209.33;0.063;8;0.0;0.0;1.0;213.0;74.0;-1;15.0;200.0;78740.0
200;0.0;496.621;297.936;198.638;0.047;8;0.0;0.0;1.0;269.0;91.0;-1;15.0;200.0;76700.0
200;0.0;496.91200000000003;308.008;188.857;0.047;8;0.0;0.0;1.0;202.0;61.0;-1;15.0;200.0;78520.0
200;0.0;446.35800000000006;275.374;170.937;0.047;8;0.0;0.0;1.0;215.0;82.0;-1;15.0;200.0;76852.0
200;0.0;475.39;273.823;201.504;0.063;8;0.0;0.0;1.0;215.0;63.0;-1;15.0;200.0;78287.0
200;0.0;719.884;409.215;310.607;0.062;8;0.0;0.0;1.0;220.0;78.0;-1;16.0;200.0;95674.0
