nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.0;4.769;3.412;1.357;0.0;1;0.0;0.0;1.0
1500;0.0;4.096;3.015;1.081;0.0;1;0.0;0.0;1.0
1500;0.0;4.486;3.439;1.047;0.0;1;0.0;0.0;1.0
1500;0.015;4.929;3.835;1.094;0.0;1;0.0;0.0;1.0
1500;0.0;4.665;3.603;1.062;0.0;1;0.0;0.0;1.0
1500;0.0;4.584;3.412;1.172;0.0;1;0.0;0.0;1.0
1500;0.0;3.8230000000000004;3.047;0.776;0.0;1;0.0;0.0;1.0
1500;0.016;3.809;3.036;0.773;0.0;1;0.0;0.0;1.0
1500;0.0;4.016;3.266;0.75;0.0;1;0.0;0.0;1.0
1500;0.0;5.708;4.944;0.764;0.0;1;0.0;0.0;1.0
1500;0.0;4.431;3.585;0.846;0.0;1;0.0;0.0;1.0
1500;0.016;4.234;3.406;0.828;0.0;1;0.0;0.0;1.0
1500;0.0;4.505;3.646;0.859;0.0;1;0.0;0.0;1.0
1500;0.0;4.11;3.204;0.906;0.0;1;0.0;0.0;1.0
1500;0.0;4.197;3.345;0.852;0.0;1;0.0;0.0;1.0
1500;0.015;5.2299999999999995;4.417;0.813;0.0;1;0.0;0.0;1.0
1500;0.0;4.877;4.08;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;4.75;3.922;0.828;0.0;1;0.0;0.0;1.0
1500;0.0;3.7289999999999996;2.893;0.836;0.0;1;0.0;0.0;1.0
1500;0.016;4.157;2.938;1.219;0.0;1;0.0;0.0;1.0
1500;0.0;4.235;3.406;0.829;0.0;1;0.0;0.0;1.0
1500;0.0;4.0;3.125;0.875;0.0;1;0.0;0.0;1.0
1500;0.0;4.892;3.923;0.969;0.0;1;0.0;0.0;1.0
1500;0.0;4.859999999999999;3.844;1.016;0.0;1;0.0;0.0;1.0
1500;0.0;5.135;3.806;1.329;0.0;1;0.0;0.0;1.0
1500;0.0;4.001;2.873;1.128;0.0;1;0.0;0.0;1.0
1500;0.0;3.86;2.875;0.985;0.0;1;0.0;0.0;1.0
1500;0.0;4.269;3.019;1.25;0.0;1;0.0;0.0;1.0
1500;0.015;4.293;3.136;1.157;0.0;1;0.0;0.0;1.0
1500;0.0;4.644;3.613;1.031;0.0;1;0.0;0.0;1.0
1500;0.0;4.914;3.711;1.203;0.0;1;0.0;0.0;1.0
1500;0.0;4.559;3.762;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;3.714;2.948;0.766;0.0;1;0.0;0.0;1.0
1500;0.016;3.794;3.029;0.765;0.0;1;0.0;0.0;1.0
1500;0.0;3.981;3.215;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;3.626;2.86;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;4.348;3.583;0.765;0.0;1;0.0;0.0;1.0
1500;0.0;4.857;3.873;0.984;0.0;1;0.0;0.0;1.0
1500;0.0;4.505;3.708;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;4.194;3.412;0.782;0.0;1;0.0;0.0;1.0
1500;0.0;3.717;2.857;0.86;0.0;1;0.0;0.0;1.0
1500;0.0;3.974;2.932;1.042;0.0;1;0.0;0.0;1.0
1500;0.0;4.041;3.089;0.952;0.0;1;0.0;0.0;1.0
1500;0.016;4.196;3.401;0.795;0.0;1;0.0;0.0;1.0
1500;0.0;4.5489999999999995;3.783;0.766;0.0;1;0.0;0.0;1.0
1500;0.0;4.461;3.68;0.781;0.0;1;0.0;0.0;1.0
1500;0.0;5.183999999999999;4.387;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;5.787;4.99;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;5.071;4.071;1.0;0.0;1;0.0;0.0;1.0
1500;0.0;4.412;3.349;1.063;0.0;1;0.0;0.0;1.0
1500;0.015;4.773;3.711;1.062;0.0;1;0.0;0.0;1.0
1500;0.0;4.86;3.813;1.047;0.0;1;0.0;0.0;1.0
1500;0.0;4.109999999999999;3.11;1.0;0.0;1;0.0;0.0;1.0
1500;0.0;4.484;3.14;1.344;0.0;1;0.0;0.0;1.0
1500;0.016;5.306;3.322;1.984;0.0;1;0.0;0.0;1.0
1500;0.0;5.179;3.178;2.001;0.0;1;0.0;0.0;1.0
1500;0.0;4.746;3.511;1.235;0.0;1;0.0;0.0;1.0
1500;0.0;5.044;3.88;1.164;0.0;1;0.0;0.0;1.0
1500;0.0;4.764;3.952;0.812;0.0;1;0.0;0.0;1.0
1500;0.016;3.7649999999999997;2.953;0.812;0.0;1;0.0;0.0;1.0
1500;0.0;3.864;2.997;0.867;0.0;1;0.0;0.0;1.0
1500;0.0;4.409;3.018;1.391;0.0;1;0.0;0.0;1.0
1500;0.0;3.984;3.125;0.859;0.0;1;0.0;0.0;1.0
1500;0.0;4.2;3.399;0.801;0.0;1;0.0;0.0;1.0
1500;0.015;4.662;3.865;0.797;0.0;1;0.0;0.0;1.0
1500;0.0;4.466;3.622;0.844;0.0;1;0.0;0.0;1.0
1500;0.0;4.186;3.128;1.058;0.0;1;0.0;0.0;1.0
1500;0.0;4.339;2.869;1.47;0.0;1;0.0;0.0;1.0
1500;0.0;4.482;2.869;1.613;0.0;1;0.0;0.0;1.0
1500;0.016;4.538;3.132;1.406;0.0;1;0.0;0.0;1.0
1500;0.0;4.868;3.449;1.419;0.0;1;0.0;0.0;1.0
1500;0.0;5.29;3.946;1.344;0.0;1;0.0;0.0;1.0
1500;0.0;5.183;3.82;1.363;0.0;1;0.0;0.0;1.0
1500;0.0;5.011;3.556;1.455;0.0;1;0.0;0.0;1.0
1500;0.015;4.1579999999999995;3.002;1.156;0.0;1;0.0;0.0;1.0
1500;0.0;4.8309999999999995;3.165;1.666;0.0;1;0.0;0.0;1.0
1500;0.0;4.207;3.044;1.163;0.0;1;0.0;0.0;1.0
1500;0.0;4.082;3.187;0.895;0.0;1;0.0;0.0;1.0
1500;0.0;5.2989999999999995;4.454;0.845;0.0;1;0.0;0.0;1.0
1500;0.0;4.759;3.924;0.835;0.0;1;0.0;0.0;1.0
1500;0.0;4.051;3.202;0.849;0.0;1;0.0;0.0;1.0
1500;0.0;3.744;2.894;0.85;0.0;1;0.0;0.0;1.0
1500;0.0;3.849;2.999;0.85;0.0;1;0.0;0.0;1.0
1500;0.016;5.208;4.388;0.82;0.0;1;0.0;0.0;1.0
1500;0.0;6.856999999999999;5.967;0.89;0.0;1;0.0;0.0;1.0
1500;0.0;5.3740000000000006;4.514;0.86;0.0;1;0.0;0.0;1.0
1500;0.0;4.161;3.335;0.826;0.0;1;0.0;0.0;1.0
1500;0.0;3.931;3.111;0.82;0.0;1;0.0;0.0;1.0
1500;0.0;4.023;3.043;0.98;0.0;1;0.0;0.0;1.0
1500;0.015;4.094;3.109;0.985;0.0;1;0.0;0.0;1.0
1500;0.0;4.438;3.471;0.967;0.0;1;0.0;0.0;1.0
1500;0.0;5.376;4.001;1.375;0.0;1;0.0;0.0;1.0
1500;0.0;5.91;4.84;1.07;0.0;1;0.0;0.0;1.0
1500;0.0;5.046;3.986;1.06;0.0;1;0.0;0.0;1.0
1500;0.0;5.132;4.047;1.085;0.0;1;0.0;0.0;1.0
1500;0.0;5.153;3.973;1.18;0.0;1;0.0;0.0;1.0
1500;0.0;4.998;3.888;1.11;0.0;1;0.0;0.0;1.0
1500;0.0;5.184;4.219;0.965;0.0;1;0.0;0.0;1.0
1500;0.0;5.074;4.254;0.82;0.0;1;0.0;0.0;1.0
1500;0.0;4.746;3.926;0.82;0.0;1;0.0;0.0;1.0
1500;0.01;4.277;3.412;0.865;0.0;2;0.0;0.0;1.0
1500;0.0;3.8850000000000002;3.015;0.87;0.0;2;0.0;0.0;1.0
1500;0.01;4.289;3.439;0.85;0.0;2;0.0;0.0;1.0
1500;0.0;4.725;3.835;0.89;0.0;2;0.0;0.0;1.0
1500;0.01;4.463;3.603;0.86;0.0;2;0.0;0.0;1.0
1500;0.0;4.242;3.412;0.83;0.0;2;0.0;0.0;1.0
1500;0.01;3.9370000000000003;3.047;0.89;0.0;2;0.0;0.0;1.0
1500;0.01;3.896;3.036;0.86;0.0;2;0.0;0.0;1.0
1500;0.0;4.146;3.266;0.88;0.0;2;0.0;0.0;1.0
1500;0.01;5.869;4.944;0.925;0.0;2;0.0;0.0;1.0
1500;0.0;4.845;3.585;1.26;0.0;2;0.0;0.0;1.0
1500;0.0;4.316;3.406;0.91;0.0;2;0.0;0.0;1.0
1500;0.01;4.586;3.646;0.94;0.0;2;0.0;0.0;1.0
1500;0.01;4.627000000000001;3.204;1.423;0.0;2;0.0;0.0;1.0
1500;0.0;4.909000000000001;3.345;1.564;0.0;2;0.0;0.0;1.0
1500;0.01;5.802;4.417;1.385;0.0;2;0.0;0.0;1.0
1500;0.0;5.365;4.08;1.285;0.0;2;0.0;0.0;1.0
1500;0.01;5.287;3.922;1.365;0.0;2;0.0;0.0;1.0
1500;0.0;3.9779999999999998;2.893;1.085;0.0;2;0.0;0.0;1.0
1500;0.01;4.008;2.938;1.07;0.0;2;0.0;0.0;1.0
1500;0.0;4.561;3.406;1.155;0.0;2;0.0;0.0;1.0
1500;0.01;3.985;3.125;0.86;0.0;2;0.0;0.0;1.0
1500;0.0;4.753;3.923;0.83;0.0;2;0.0;0.0;1.0
1500;0.01;4.684;3.844;0.84;0.0;2;0.0;0.0;1.0
1500;0.0;4.606;3.806;0.8;0.0;2;0.0;0.0;1.0
1500;0.0;3.6830000000000003;2.873;0.81;0.0;2;0.0;0.0;1.0
1500;0.0;3.695;2.875;0.82;0.0;2;0.0;0.0;1.0
1500;0.001;3.839;3.019;0.82;0.0;2;0.0;0.0;1.0
1500;0.0;4.016;3.136;0.88;0.0;2;0.0;0.0;1.0
1500;0.0;4.473;3.613;0.86;0.0;2;0.0;0.0;1.0
1500;0.01;4.5809999999999995;3.711;0.87;0.0;2;0.0;0.0;1.0
1500;0.0;4.582;3.762;0.82;0.0;2;0.0;0.0;1.0
1500;0.01;3.818;2.948;0.87;0.0;2;0.0;0.0;1.0
1500;0.01;3.949;3.029;0.92;0.0;2;0.0;0.0;1.0
1500;0.0;4.058;3.215;0.843;0.0;2;0.0;0.0;1.0
1500;0.01;4.25;2.86;1.39;0.0;2;0.0;0.0;1.0
1500;0.0;4.38;3.583;0.797;0.0;2;0.0;0.0;1.0
1500;0.01;4.737;3.873;0.864;0.0;2;0.0;0.0;1.0
1500;0.0;4.808;3.708;1.1;0.0;2;0.0;0.0;1.0
1500;0.01;4.521;3.412;1.109;0.0;2;0.0;0.0;1.0
1500;0.0;3.888;2.857;1.031;0.0;2;0.0;0.0;1.0
1500;0.01;4.005;2.932;1.073;0.0;2;0.0;0.0;1.0
1500;0.0;4.901;3.089;1.812;0.0;2;0.0;0.0;1.0
1500;0.01;4.505;3.401;1.104;0.0;2;0.0;0.0;1.0
1500;0.0;4.7669999999999995;3.783;0.984;0.0;2;0.0;0.0;1.0
1500;0.01;4.681;3.68;1.001;0.0;2;0.0;0.0;1.0
1500;0.006;5.3;4.387;0.913;0.0;2;0.0;0.0;1.0
1500;0.004;5.755;4.99;0.765;0.0;2;0.0;0.0;1.0
1500;0.0;4.821;4.071;0.75;0.0;2;0.0;0.0;1.0
1500;0.01;4.099;3.349;0.75;0.0;2;0.0;0.0;1.0
1500;0.0;4.461;3.711;0.75;0.0;2;0.0;0.0;1.0
1500;0.01;4.594;3.813;0.781;0.0;2;0.0;0.0;1.0
1500;0.0;3.876;3.11;0.766;0.0;2;0.0;0.0;1.0
1500;0.0;3.9370000000000003;3.14;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;4.134;3.322;0.812;0.0;2;0.0;0.0;1.0
1500;0.01;4.022;3.178;0.844;0.0;2;0.0;0.0;1.0
1500;0.01;4.308;3.511;0.797;0.0;2;0.0;0.0;1.0
1500;0.01;4.677;3.88;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;4.749;3.952;0.797;0.0;2;0.0;0.0;1.0
1500;0.01;3.7649999999999997;2.953;0.812;0.0;2;0.0;0.0;1.0
1500;0.0;3.8249999999999997;2.997;0.828;0.0;2;0.0;0.0;1.0
1500;0.01;3.816;3.018;0.798;0.0;2;0.0;0.0;1.0
1500;0.0;3.942;3.125;0.817;0.0;2;0.0;0.0;1.0
1500;0.01;4.399;3.399;1.0;0.0;2;0.0;0.0;1.0
1500;0.006;4.924;3.865;1.059;0.0;2;0.0;0.0;1.0
1500;0.004;4.684;3.622;1.062;0.0;2;0.0;0.0;1.0
1500;0.005;4.175;3.128;1.047;0.0;2;0.0;0.0;1.0
1500;0.0;3.827;2.869;0.958;0.0;2;0.0;0.0;1.0
1500;0.01;3.8850000000000002;2.869;1.016;0.0;2;0.0;0.0;1.0
1500;0.005;4.148;3.132;1.016;0.0;2;0.0;0.0;1.0
1500;0.005;4.507;3.449;1.058;0.0;2;0.0;0.0;1.0
1500;0.005;5.023;3.946;1.077;0.0;2;0.0;0.0;1.0
1500;0.005;4.836;3.82;1.016;0.0;2;0.0;0.0;1.0
1500;0.005;4.353;3.556;0.797;0.0;2;0.0;0.0;1.0
1500;0.0;3.8609999999999998;3.002;0.859;0.0;2;0.0;0.0;1.0
1500;0.01;3.951;3.165;0.786;0.0;2;0.0;0.0;1.0
1500;0.0;4.1850000000000005;3.044;1.141;0.0;2;0.0;0.0;1.0
1500;0.01;3.936;3.187;0.749;0.0;2;0.0;0.0;1.0
1500;0.0;5.22;4.454;0.766;0.0;2;0.0;0.0;1.0
1500;0.01;4.681;3.924;0.757;0.0;2;0.0;0.0;1.0
1500;0.0;3.947;3.202;0.745;0.0;2;0.0;0.0;1.0
1500;0.01;3.661;2.894;0.767;0.0;2;0.0;0.0;1.0
1500;0.001;3.748;2.999;0.749;0.0;2;0.0;0.0;1.0
1500;0.005;5.17;4.388;0.782;0.0;2;0.0;0.0;1.0
1500;0.005;6.768;5.967;0.801;0.0;2;0.0;0.0;1.0
1500;0.0;5.3180000000000005;4.514;0.804;0.0;2;0.0;0.0;1.0
1500;0.01;4.147;3.335;0.812;0.0;2;0.0;0.0;1.0
1500;0.0;3.8970000000000002;3.111;0.786;0.0;2;0.0;0.0;1.0
1500;0.005;3.809;3.043;0.766;0.0;2;0.0;0.0;1.0
1500;0.01;3.9219999999999997;3.109;0.813;0.0;2;0.0;0.0;1.0
1500;0.005;4.475;3.471;1.004;0.0;2;0.0;0.0;1.0
1500;0.0;5.048;4.001;1.047;0.0;2;0.0;0.0;1.0
1500;0.01;5.84;4.84;1.0;0.0;2;0.0;0.0;1.0
1500;0.01;5.018000000000001;3.986;1.032;0.0;2;0.0;0.0;1.0
1500;0.0;5.079;4.047;1.032;0.0;2;0.0;0.0;1.0
1500;0.01;4.922;3.973;0.949;0.0;2;0.0;0.0;1.0
1500;0.0;4.904;3.888;1.016;0.0;2;0.0;0.0;1.0
1500;0.01;5.191000000000001;4.219;0.972;0.0;2;0.0;0.0;1.0
1500;0.006;5.239;4.254;0.985;0.0;2;0.0;0.0;1.0
1500;0.004;4.863;3.926;0.937;0.0;2;0.0;0.0;1.0
1500;0.016;4.178;3.412;0.766;0.0;3;0.0;0.0;1.0
1500;0.015;3.765;3.015;0.75;0.0;3;0.0;0.0;1.0
1500;0.016;4.204;3.439;0.765;0.0;3;0.0;0.0;1.0
1500;0.016;4.585;3.835;0.75;0.0;3;0.0;0.0;1.0
1500;0.015;4.354;3.603;0.751;0.0;3;0.0;0.0;1.0
1500;0.0;4.177;3.412;0.765;0.0;3;0.0;0.0;1.0
1500;0.016;3.813;3.047;0.766;0.0;3;0.0;0.0;1.0
1500;0.015;3.801;3.036;0.765;0.0;3;0.0;0.0;1.0
1500;0.016;4.017;3.266;0.751;0.0;3;0.0;0.0;1.0
1500;0.016;5.693;4.944;0.749;0.0;3;0.0;0.0;1.0
1500;0.015;4.351;3.585;0.766;0.0;3;0.0;0.0;1.0
1500;0.016;4.203;3.406;0.797;0.0;3;0.0;0.0;1.0
1500;0.016;4.49;3.646;0.844;0.0;3;0.0;0.0;1.0
1500;0.015;4.001;3.204;0.797;0.0;3;0.0;0.0;1.0
1500;0.016;4.157;3.345;0.812;0.0;3;0.0;0.0;1.0
1500;0.015;5.2139999999999995;4.417;0.797;0.0;3;0.0;0.0;1.0
1500;0.016;5.002;4.08;0.922;0.0;3;0.0;0.0;1.0
1500;0.016;4.969;3.922;1.047;0.0;3;0.0;0.0;1.0
1500;0.0;3.893;2.893;1.0;0.0;3;0.0;0.0;1.0
1500;0.015;3.891;2.938;0.953;0.0;3;0.0;0.0;1.0
1500;0.0;4.390000000000001;3.406;0.984;0.0;3;0.0;0.0;1.0
1500;0.016;4.128;3.125;1.003;0.0;3;0.0;0.0;1.0
1500;0.016;4.923;3.923;1.0;0.0;3;0.0;0.0;1.0
1500;0.0;4.797;3.844;0.953;0.0;3;0.0;0.0;1.0
1500;0.015;4.79;3.806;0.984;0.0;3;0.0;0.0;1.0
1500;0.0;3.8560000000000003;2.873;0.983;0.0;3;0.0;0.0;1.0
1500;0.016;3.828;2.875;0.953;0.0;3;0.0;0.0;1.0
1500;0.015;3.773;3.019;0.754;0.0;3;0.0;0.0;1.0
1500;0.0;3.9010000000000002;3.136;0.765;0.0;3;0.0;0.0;1.0
