nodes;pipe 1;pipe 2;reduction;kernel;hs_st;k;st_result;ke_result;equal
1500;0.003;2.769;2.358;0.411;0.0;2;0.0;0.0;1.0
1500;0.003;2.432;2.002;0.43;0.0;2;0.0;0.0;1.0
1500;0.003;2.4;1.985;0.415;0.0;2;0.0;0.0;1.0
1500;0.004;2.417;2.001;0.416;0.0;2;0.0;0.0;1.0
1500;0.003;2.431;2.016;0.415;0.0;2;0.0;0.0;1.0
1500;0.003;2.416;1.998;0.418;0.0;2;0.0;0.0;1.0
1500;0.003;2.375;1.959;0.416;0.0;2;0.0;0.0;1.0
1500;0.003;2.3770000000000002;1.965;0.412;0.0;2;0.0;0.0;1.0
1500;0.004;2.405;1.982;0.423;0.0;2;0.0;0.0;1.0
1500;0.003;2.403;1.986;0.417;0.0;2;0.0;0.0;1.0
1500;0.004;2.403;1.99;0.413;0.0;2;0.0;0.0;1.0
1500;0.003;2.38;1.963;0.417;0.0;2;0.0;0.0;1.0
1500;0.003;2.363;1.946;0.417;0.0;2;0.0;0.0;1.0
1500;0.003;2.389;1.972;0.417;0.0;2;0.0;0.0;1.0
1500;0.003;2.383;1.967;0.416;0.0;2;0.0;0.0;1.0
1500;0.004;2.399;1.984;0.415;0.0;2;0.0;0.0;1.0
1500;0.003;2.398;1.982;0.416;0.0;2;0.0;0.0;1.0
1500;0.003;2.407;1.991;0.416;0.0;2;0.0;0.0;1.0
1500;0.004;2.417;2.0;0.417;0.0;2;0.0;0.0;1.0
1500;0.003;2.414;1.987;0.427;0.0;2;0.0;0.0;1.0
1500;0.003;2.438;2.019;0.419;0.0;2;0.0;0.0;1.0
1500;0.004;2.452;2.02;0.432;0.0;2;0.0;0.0;1.0
1500;0.003;2.452;2.019;0.433;0.0;2;0.0;0.0;1.0
1500;0.003;2.384;1.96;0.424;0.0;2;0.0;0.0;1.0
1500;0.003;2.3890000000000002;1.965;0.424;0.0;2;0.0;0.0;1.0
1500;0.003;2.38;1.955;0.425;0.0;2;0.0;0.0;1.0
1500;0.004;2.401;1.978;0.423;0.0;2;0.0;0.0;1.0
1500;0.004;2.409;1.986;0.423;0.0;2;0.0;0.0;1.0
1500;0.003;2.3770000000000002;1.955;0.422;0.0;2;0.0;0.0;1.0
1500;0.003;2.399;1.972;0.427;0.0;2;0.0;0.0;1.0
1500;0.003;2.387;1.967;0.42;0.0;2;0.0;0.0;1.0
1500;0.003;2.4250000000000003;1.997;0.428;0.0;2;0.0;0.0;1.0
1500;0.003;2.431;2.009;0.422;0.0;2;0.0;0.0;1.0
1500;0.003;2.446;2.019;0.427;0.0;2;0.0;0.0;1.0
1500;0.004;2.408;1.979;0.429;0.0;2;0.0;0.0;1.0
1500;0.003;2.415;2.0;0.415;0.0;2;0.0;0.0;1.0
1500;0.003;2.417;1.992;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.387;1.965;0.422;0.0;2;0.0;0.0;1.0
1500;0.003;2.3970000000000002;1.975;0.422;0.0;2;0.0;0.0;1.0
1500;0.003;2.397;1.972;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.378;1.953;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.401;1.98;0.421;0.0;2;0.0;0.0;1.0
1500;0.003;2.426;1.999;0.427;0.0;2;0.0;0.0;1.0
1500;0.004;2.376;1.956;0.42;0.0;2;0.0;0.0;1.0
1500;0.002;2.376;1.956;0.42;0.0;2;0.0;0.0;1.0
1500;0.004;2.4050000000000002;1.981;0.424;0.0;2;0.0;0.0;1.0
1500;0.002;2.378;1.955;0.423;0.0;2;0.0;0.0;1.0
1500;0.004;2.371;1.951;0.42;0.0;2;0.0;0.0;1.0
1500;0.003;2.367;1.943;0.424;0.0;2;0.0;0.0;1.0
1500;0.003;2.376;1.951;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.388;1.963;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.3850000000000002;1.961;0.424;0.0;2;0.0;0.0;1.0
1500;0.004;2.411;1.987;0.424;0.0;2;0.0;0.0;1.0
1500;0.003;2.411;1.988;0.423;0.0;2;0.0;0.0;1.0
1500;0.003;2.415;1.993;0.422;0.0;2;0.0;0.0;1.0
1500;0.004;2.438;2.015;0.423;0.0;2;0.0;0.0;1.0
1500;0.002;2.406;1.979;0.427;0.0;2;0.0;0.0;1.0
1500;0.004;2.4349999999999996;2.01;0.425;0.0;2;0.0;0.0;1.0
1500;0.003;2.472;2.041;0.431;0.0;2;0.0;0.0;1.0
