nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;0.766;1.016;1.016;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.001;0.741;0.741;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.032;0.706;0.706;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.062;0.704;0.704;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.016;0.773;0.773;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.047;0.838;0.838;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.016;0.835;0.835;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.015;0.832;0.832;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.078;0.712;0.712;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1000;1.0;0.767;0.767;0.0;0.0;12;1.0;1.0;1.0;0.0;1000.0;-1;0.0;1000.0;0.0
1200;1.407;0.998;0.998;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.109;1.021;1.021;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.11;1.006;1.006;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.093;1.012;1.012;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.11;1.074;1.074;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.078;1.169;1.169;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.078;1.029;1.029;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.079;1.013;1.013;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.093;1.001;1.001;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1200;1.078;1.001;1.001;0.0;0.0;12;1.0;1.0;1.0;0.0;1200.0;-1;0.0;1200.0;0.0
1400;1.5;1.403;1.403;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;1.547;1.911;1.911;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;1.735;1.66;1.66;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;2.0;1.621;1.621;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;1.919;1.487;1.487;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;1.926;1.6;1.6;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;1.984;1.538;1.538;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;2.175;1.563;1.563;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;3.547;1.653;1.653;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1400;2.136;2.044;2.044;0.0;0.0;12;1.0;1.0;1.0;0.0;1400.0;-1;0.0;1400.0;0.0
1600;2.038;2.087;2.087;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;2.447;1.933;1.933;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;1.911;1.949;1.949;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;4.067;2.027;2.027;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;3.395;2.101;2.101;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;3.455;1.999;1.999;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;2.173;2.05;2.05;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;1.922;1.957;1.957;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;2.126;2.037;2.037;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1600;2.766;2.253;2.253;0.0;0.0;12;1.0;1.0;1.0;0.0;1600.0;-1;0.0;1600.0;0.0
1800;3.081;3.494;3.494;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.642;3.159;3.159;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;3.365;2.683;2.683;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;3.268;2.425;2.425;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;3.374;2.598;2.598;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.456;3.128;3.128;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.516;2.7;2.7;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.513;2.38;2.38;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.564;2.449;2.449;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
1800;2.61;2.509;2.509;0.0;0.0;12;1.0;1.0;1.0;0.0;1800.0;-1;0.0;1800.0;0.0
2000;4.532;3.177;3.177;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
2000;5.095;3.141;3.141;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
2000;3.715;3.211;3.211;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
2000;3.206;3.212;3.212;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
2000;3.03;3.027;3.027;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
2000;3.666;3.059;3.059;0.0;0.0;12;1.0;1.0;1.0;0.0;2000.0;-1;0.0;2000.0;0.0
