nodes;pipe 1;pipe 2;reduction_time;kernel_time;hs_st_time;k;st_result;ke_result;equal;ke_nodes;ke_edges;c_par;density;reduced_nodes;reduced_edges
1000;20.743;2.2399999999999998;1.803;0.437;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2887.0
1000;28.676;1.764;1.498;0.266;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2808.0
1000;25.135;1.552;1.303;0.249;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2831.0
1000;19.631;1.3130000000000002;1.078;0.235;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2716.0
1000;29.722;1.203;0.984;0.219;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2741.0
1000;25.086;1.188;1.0;0.188;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2782.0
1000;29.933;1.219;1.016;0.203;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2837.0
1000;22.081;1.187;1.0;0.187;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2798.0
1000;32.432;1.2590000000000001;1.04;0.219;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2884.0
1000;25.208;1.212;1.009;0.203;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1000.0;2773.0
1200;32.899;1.678;1.39;0.288;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3244.0
1200;33.509;1.6869999999999998;1.422;0.265;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3342.0
1200;31.276;1.718;1.437;0.281;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3413.0
1200;28.994;1.691;1.423;0.268;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3386.0
1200;10.689;1.71;1.437;0.273;0.0;14;1.0;1.0;1.0;15.0;14.0;-1;3.0;1200.0;3394.0
1200;28.256;1.734;1.438;0.296;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3428.0
1200;34.601;1.813;1.531;0.282;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3336.0
1200;57.588;1.9529999999999998;1.672;0.281;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3433.0
1200;43.355;1.922;1.625;0.297;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3459.0
1200;37.053;1.907;1.626;0.281;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1200.0;3446.0
1400;37.575;2.5949999999999998;2.239;0.356;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3924.0
1400;27.943;2.616;2.257;0.359;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3882.0
1400;16.4;2.839;2.495;0.344;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3907.0
1400;52.2;2.444;2.085;0.359;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3954.0
1400;40.649;2.4059999999999997;2.078;0.328;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3871.0
1400;43.537;2.463;2.103;0.36;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3805.0
1400;39.248;2.452;2.104;0.348;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3963.0
1400;60.829;2.453;2.109;0.344;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3902.0
1400;41.507;2.514;2.17;0.344;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3879.0
1400;31.388;2.518;2.158;0.36;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1400.0;3880.0
1600;33.677;3.235;2.814;0.421;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4417.0
1600;39.595;3.219;2.844;0.375;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4506.0
1600;28.472;3.048;2.688;0.36;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4411.0
1600;35.891;3.14;2.766;0.374;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4517.0
1600;56.141;3.0789999999999997;2.735;0.344;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4339.0
1600;50.507;3.173;2.813;0.36;0.0;14;1.0;1.0;1.0;14.0;14.0;-1;3.0;1600.0;4491.0
