> Constructing 1 formulas with 3 vc-instances and reducing them to hypergraphs.
  Testing assignments , Progress 0,00%, current: 1 1 
  Testing assignments , Progress 1,05%, current: 65 5761 
  Testing assignments , Progress 2,11%, current: 130 5361 
  Testing assignments , Progress 3,16%, current: 195 4961 
  Testing assignments , Progress 4,22%, current: 260 4561 
  Testing assignments , Progress 5,27%, current: 325 4161 
  Testing assignments , Progress 6,32%, current: 390 3761 
  Testing assignments , Progress 7,38%, current: 455 3361 
  Testing assignments , Progress 8,43%, current: 520 2961 
  Testing assignments , Progress 9,49%, current: 585 2561 
  Testing assignments , Progress 10,54%, current: 650 2161 
  Testing assignments , Progress 11,60%, current: 715 1761 
  Testing assignments , Progress 12,65%, current: 780 1361 
  Testing assignments , Progress 13,70%, current: 845 961 
  Testing assignments , Progress 14,76%, current: 910 561 
  Testing assignments , Progress 15,81%, current: 975 161 
  Testing assignments , Progress 16,87%, current: 1039 5921 
  Testing assignments , Progress 17,92%, current: 1104 5521 
  Testing assignments , Progress 18,97%, current: 1169 5121 
  Testing assignments , Progress 20,03%, current: 1234 4721 
  Testing assignments , Progress 21,08%, current: 1299 4321 
  Testing assignments , Progress 22,14%, current: 1364 3921 
  Testing assignments , Progress 23,19%, current: 1429 3521 
  Testing assignments , Progress 24,25%, current: 1494 3121 
  Testing assignments , Progress 25,30%, current: 1559 2721 
  Testing assignments , Progress 26,35%, current: 1624 2321 
  Testing assignments , Progress 27,41%, current: 1689 1921 
  Testing assignments , Progress 28,46%, current: 1754 1521 
  Testing assignments , Progress 29,52%, current: 1819 1121 
  Testing assignments , Progress 30,57%, current: 1884 721 
  Testing assignments , Progress 31,62%, current: 1949 321 
  Testing assignments , Progress 32,68%, current: 2013 6081 
  Testing assignments , Progress 33,73%, current: 2078 5681 
  Testing assignments , Progress 34,79%, current: 2143 5281 
  Testing assignments , Progress 35,84%, current: 2208 4881 
  Testing assignments , Progress 36,89%, current: 2273 4481 
  Testing assignments , Progress 37,95%, current: 2338 4081 
  Testing assignments , Progress 39,00%, current: 2403 3681 
  Testing assignments , Progress 40,06%, current: 2468 3281 
  Testing assignments , Progress 41,11%, current: 2533 2881 
  Testing assignments , Progress 42,17%, current: 2598 2481 
  Testing assignments , Progress 43,22%, current: 2663 2081 
  Testing assignments , Progress 44,27%, current: 2728 1681 
  Testing assignments , Progress 45,33%, current: 2793 1281 
  Testing assignments , Progress 46,38%, current: 2858 881 
  Testing assignments , Progress 47,44%, current: 2923 481 
  Testing assignments , Progress 48,49%, current: 2988 81 
  Testing assignments , Progress 49,54%, current: 3052 5841 
  Testing assignments , Progress 50,60%, current: 3117 5441 
  Testing assignments , Progress 51,65%, current: 3182 5041 
  Testing assignments , Progress 52,71%, current: 3247 4641 
  Testing assignments , Progress 53,76%, current: 3312 4241 
  Testing assignments , Progress 54,82%, current: 3377 3841 
  Testing assignments , Progress 55,87%, current: 3442 3441 
  Testing assignments , Progress 56,92%, current: 3507 3041 
